CASE;LANGUAGE;SC01;GS01_01;GS01_02;GS01_03;CM01_01;CM01_02;CM01_03;CM01_04;CM01_05;CS01_01;CS01_02;CS01_03;CS01_04;CS01_05;CS01_06;CS01_07;FW01_01;FW01_02;FW01_03;FW01_04;CW01_01;CW01_02;CW01_03;CW01_04;CF01_06;CF02;CF02_06;CF03_01;CF04;CF05_01;CF06;CF06s;SD01;SD02_01;SD03_01;SD04;SD04_09;SD05;SD05_08;SD06;SD07;SD08
1;deu;2;5;5;6;5;5;5;5;6;6;5;5;5;6;6;4;5;5;4;5;4;4;3;4;9;5;;2;1;5;-2;Ich setze mir Ziele bzgl Bewegungsabläufen, die ich erlernen oder verbessern möchte und versuche diese ins Training zu integrieren.;;;;;;;;;;
2;deu;2;7;6;6;7;6;6;7;6;6;4;6;6;7;7;5;5;6;7;7;6;5;6;5;21;1;;18;1;7;-2;ich gezielt an meinen Schwächen und Strategien mit der Unterstützung eines Coaches arbeite.;2;28;81;8;;4;;10;1;4
3;deu;2;4;4;3;5;5;5;4;5;5;3;4;4;4;4;3;5;4;5;6;4;5;5;4;12;5;;2;1;6;-2;..weil mir der Sport wichtig ist als Ausgleich zur Arbeit und wenn ich etwas mache, dann 100% reinstecken möchte. Ziele zu setzen hilft meiner Motivation, diese 100% zu erreichen.;2;31;80;8;;4;;10;5;3
4;deu;2;6;6;6;6;6;6;6;6;6;5;6;6;6;6;5;6;5;6;6;6;6;5;5;7,5;5;;17;2;5;-2;Ich setze mir Ziele um voran zu kommen, liebe aber auch die Routine im Training;1;29;89;8;;4;;9;4;1
5;deu;2;5;6;5;6;6;5;6;7;5;4;6;6;6;7;5;6;6;7;7;6;4;5;3;8;5;;3;1;6;-2;Ich besser werden möchte und ich weiß, dass ich es mit entsprechender Zielsetzung auch schaffen kann;1;29;81;7;;3;;3;4;
6;deu;2;4;4;4;6;5;4;4;4;4;3;5;5;6;6;3;3;3;6;6;4;4;6;4;5;6;Pole Dance, Fitnessstudio (Kraft/Geräte Training) und regelmäßig joggen;2;2;6;-2;Es auch tatsächlich so ist. Bestätigt dich regelmäßig;1;26;80;8;;4;;6;8;1
7;deu;2;2;2;2;3;3;2;3;2;3;2;2;3;2;3;1;3;4;4;4;3;1;1;1;6;5;;3;1;3;-2;Wenig bis keine Zielsetzung;1;33;80;4;;4;;10;1;2
8;deu;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;deu;2;4;5;6;6;5;6;5;6;5;4;5;5;5;5;4;6;4;6;6;5;4;4;3;9;5;;1,75;1;6;-2;Ich möchte gezielt an manche meiner Schwächen arbeiten. Wenn ich diese nicht konkret angehe, werden sie nur langsam, wenn überhaupt, besser.;1;20;81;9;International Baccalaureate ;3;;5;1;
10;deu;2;6;6;6;5;6;6;6;5;5;6;6;6;6;6;5;6;6;6;6;5;6;6;5;7;5;;1;2;6;-2;es mir Spaß macht;1;28;80;8;;3;;1;1;
