"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"548551";"Aachen";10;10;10;10;10;10;5;10;10;10;10;10;8;10;8;8;8;7;5;5;120;200;400;100;50;0;5;5;4;8;6;8;8;10;2;8;5;10;7;8;0;10;10;8;10;10;10;6;8;10;10;10;10;8;10;10;10;10;3;3;4;3;5;10;5;5;0;10;10;6;10;10;10;5;3;7;4;10;8;0;8;8;10;8;10;2;4;0;0;0;0;3;6;2;2;7;7;2;2;7;7;7;7;1;7;5;1;1;1;7;1;1;1;1;2;2;1;1;7;7;59;2;3;1;NA;3;"41749";2
"549105";"Aachen";5;4;5;6;6;5;4;3;4;4;3;2;2;3;3;2;2;3;3;3;300;300;1500;250;200;150;3;3;4;4;3;3;6;6;5;6;6;4;5;4;4;4;4;5;6;4;3;3;3;5;6;5;6;4;4;3;3;3;3;3;3;3;3;3;4;5;4;4;4;4;4;3;3;3;6;6;5;3;4;4;4;4;3;3;4;4;4;4;4;4;4;3;3;3;3;6;6;3;3;3;3;3;3;3;3;3;2;2;2;6;6;2;2;2;2;2;2;2;2;2;69;2;5;3;3;1;"52074";NA
"551398";"Aachen";8;7;9;9;8;7;7;8;6;6;8;8;5;8;7;9;7;7;6;7;150;300;600;200;150;50;3;7;5;5;4;5;8;9;7;8;8;8;7;7;5;9;9;9;8;7;8;9;8;9;8;8;8;7;8;8;9;8;5;6;1;1;6;6;4;4;1;7;7;6;6;4;5;6;5;6;3;4;6;3;4;5;7;4;7;5;5;2;5;10;0;3;7;5;3;4;1;5;3;3;7;6;5;5;5;6;5;6;5;5;5;4;5;2;1;3;3;4;2;6;25;2;3;1;2;3;"52379";1
"548531";"Aachen";10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;1000;100;100;100;100;100;0;5;5;10;5;5;0;8;0;8;10;8;10;10;7;6;10;5;5;5;5;3;10;7;3;0;0;0;5;5;5;5;0;6;0;2;5;5;5;7;3;7;7;5;3;5;5;5;5;7;3;5;5;0;5;10;6;5;10;0;5;0;0;5;0;3;6;3;4;5;5;2;2;2;4;5;6;3;3;5;1;1;1;1;1;1;1;1;5;1;1;1;1;1;44;1;3;3;2;1;"52146";2
"549105";"Aachen";6;6;7;7;6;7;6;6;7;6;6;7;7;7;7;6;7;7;5;6;300;300;1600;200;200;100;3;3;6;6;6;6;8;8;8;8;6;6;6;6;6;6;6;6;4;4;4;2;6;7;6;5;5;5;6;5;6;4;7;7;7;7;5;5;5;5;5;5;5;5;5;5;5;1;7;8;7;6;4;4;4;4;4;4;5;5;5;4;4;3;5;3;4;5;4;5;5;5;4;6;5;4;3;3;3;3;3;4;5;4;4;5;5;4;3;4;5;4;5;4;67;1;5;4;3;1;"52074";NA
"525060";"Aachen";8;5;10;10;10;10;10;10;5;10;8;10;7;10;5;9;8;8;4;0;200;500;2000;100;100;20;0;5;5;5;5;5;10;10;6;10;10;8;8;2;5;10;10;10;10;10;10;10;8;10;7;10;8;0;10;10;10;10;0;7;0;2;9;4;0;10;0;9;9;0;5;10;6;6;8;8;0;5;5;0;0;10;10;5;10;0;10;0;0;5;0;3;7;7;1;3;7;7;4;7;7;4;2;4;6;7;1;1;1;7;5;5;4;1;1;1;3;5;5;7;34;2;3;1;2;4;"52224";1
"547538";"Aachen";9;9;9;10;8;10;5;6;7;6;6;9;5;8;2;5;2;2;2;5;500;300;800;200;200;50;3;4;2;4;4;2;8;10;8;8;4;1;3;8;0;8;8;8;8;10;10;8;9;7;8;10;10;7;10;10;10;6;0;5;0;3;4;0;0;6;0;7;8;6;5;6;10;6;6;7;6;9;8;2;4;9;10;3;10;0;0;0;0;0;0;3;7;5;7;7;1;5;3;7;5;5;7;4;4;7;3;3;4;7;1;1;1;7;1;5;1;5;7;7;60;1;3;1;2;2;"52531";1
"555140";"Aachen";8;8;9;10;9;6;6;10;6;8;7;10;2;6;8;9;7;9;10;7;12;30;0;0;0;0;5;0;8;0;0;6;10;10;0;0;0;0;0;6;7;3;0;0;0;0;5;0;0;10;0;0;10;0;0;8;10;8;10;10;0;0;0;0;0;9;6;2;0;0;0;0;10;0;0;6;0;0;5;0;0;6;10;5;3;0;0;0;0;0;0;3;7;7;4;5;7;7;6;5;7;3;6;5;7;3;4;2;3;4;5;5;5;3;2;1;4;3;1;4;12;2;1;1;NA;2;"52499";NA
"548554";"Aachen";8;9;6;7;6;8;5;8;2;7;8;10;2;5;3;9;4;7;2;2;250;250;700;150;200;50;2;3;3;8;2;1;8;9;6;7;6;7;7;8;2;9;9;3;2;6;7;9;6;8;8;7;5;6;7;8;9;8;1;3;0;2;5;5;3;6;0;8;8;3;2;5;7;7;6;9;3;2;4;1;4;9;10;6;7;5;3;4;5;6;7;3;5;5;3;2;3;5;2;6;6;6;5;5;5;4;6;5;4;6;6;5;4;2;3;3;3;6;5;4;42;2;7;1;3;3;"51427";NA
"551401";"Aachen";10;10;10;1;9;10;10;10;10;9;7;10;8;9;9;10;9;8;7;7;70;30;0;50;50;0;8;8;7;8;7;8;10;10;7;0;10;10;3;8;8;10;10;10;9;10;10;7;10;9;8;10;10;10;10;10;10;10;10;10;0;10;8;3;2;0;10;9;3;8;8;10;10;7;5;6;2;2;7;3;3;9;7;7;10;7;9;0;8;2;9;1;7;7;3;2;5;7;4;6;7;7;7;3;4;5;1;1;2;4;3;1;1;1;1;7;2;4;4;4;19;2;1;3;1;2;"52064";NA
