"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"542715";"Berlin";10;7;5;5;7;6;3;7;4;3;8;5;3;8;4;4;7;5;3;6;150;500;300;350;50;10;6;4;3;6;7;4;7;5;7;4;3;6;6;6;4;6;5;6;7;5;7;4;6;4;7;5;7;5;7;4;6;7;6;6;4;7;4;6;5;8;4;7;4;6;3;6;3;5;4;6;4;8;4;7;3;5;3;4;7;5;7;3;4;7;5;3;4;4;5;3;7;3;4;4;4;6;2;4;7;4;7;4;6;3;7;4;7;5;7;4;7;4;5;6;50;2;3;2;1;2;"10249";2
"537878";"Berlin";9;9;8;7;8;7;8;4;5;4;6;5;4;5;6;5;4;3;4;5;100;500;800;200;700;60;5;6;5;6;5;7;9;8;7;7;7;7;8;7;8;8;8;8;7;7;8;9;9;5;4;3;6;8;9;8;9;8;2;2;2;1;2;1;2;1;2;1;2;1;2;1;0;0;0;0;0;0;3;3;3;2;2;1;9;7;4;7;3;6;5;3;6;5;6;5;7;6;5;4;3;2;3;4;5;6;7;NA;7;6;5;NA;4;6;7;6;5;4;5;4;51;1;3;2;3;1;"10409";1
"554208";"Berlin";10;9;10;10;10;10;7;10;10;9;9;10;5;9;8;9;7;9;8;4;150;250;600;100;600;20;2;10;6;9;8;2;8;10;5;0;8;8;0;7;0;10;10;8;8;8;9;8;6;7;7;7;7;0;10;5;10;7;0;10;0;0;8;8;0;0;0;10;10;8;9;8;9;0;0;7;0;7;0;0;10;0;4;7;6;0;0;0;0;0;0;3;7;7;6;4;2;7;4;7;7;5;5;5;5;5;7;5;3;4;1;1;1;5;5;4;1;4;1;4;60;2;3;2;3;1;"30519";1
"547453";"Berlin";10;10;10;10;10;10;8;9;10;9;9;10;8;10;8;10;8;8;10;10;60;400;400;50;100;20;7;8;5;9;5;5;8;10;3;10;10;5;10;3;10;10;5;5;8;10;10;10;8;8;8;10;10;5;10;10;10;10;10;10;2;10;9;4;10;10;10;10;5;5;8;10;5;10;5;8;6;10;7;4;9;10;8;9;10;5;5;4;5;4;5;3;5;3;3;3;3;5;3;7;4;7;6;3;3;3;6;7;6;3;3;2;2;6;6;6;4;2;3;3;69;2;5;1;1;4;"18519";NA
"548004";"Berlin";7;8;9;6;7;7;6;10;9;9;10;10;8;9;7;10;7;7;7;6;50;150;500;50;50;10;5;8;5;4;6;5;10;10;7;10;8;3;2;6;3;10;10;8;6;9;4;6;9;9;10;9;10;10;9;2;9;10;9;10;2;6;9;0;8;1;1;8;8;1;2;9;5;4;2;6;9;7;7;8;7;9;2;8;8;8;4;2;4;2;0;1;5;5;1;1;5;6;4;3;3;6;6;2;2;4;6;6;6;3;1;2;2;6;3;3;3;5;4;7;25;2;2;1;2;1;"91052";NA
"547314";"Berlin";7;9;9;9;6;7;7;8;3;7;7;8;6;6;7;6;7;2;4;4;50;300;1600;100;300;70;1;4;6;5;4;3;7;8;6;7;7;1;6;8;4;8;6;7;7;6;9;8;1;8;7;8;6;7;9;8;7;9;8;5;2;6;6;1;6;8;2;8;7;7;7;6;9;5;2;6;5;4;4;6;9;6;8;6;8;5;6;0;1;1;1;1;5;6;2;6;6;7;5;6;5;6;6;1;2;1;2;2;3;5;2;2;1;2;1;2;5;2;1;5;60;2;3;3;2;1;"10717";NA
"517544";"Berlin";8;8;8;8;8;8;8;6;6;6;6;6;6;6;9;9;9;9;9;9;360;115;900;20;80;20;8;6;5;5;5;4;8;8;8;8;6;6;6;6;6;6;6;4;4;4;4;4;5;5;5;5;5;5;4;8;8;8;6;6;6;6;5;5;5;5;4;4;4;3;3;3;3;3;4;4;4;4;4;4;5;8;8;8;8;8;8;6;3;1;3;3;4;7;2;1;2;3;5;3;3;3;7;3;3;4;2;2;3;3;2;4;3;2;3;4;2;2;3;5;58;1;3;3;3;1;"10437";1
"543541";"Berlin";9;9;7;4;9;7;5;8;6;7;7;10;2;7;7;8;9;7;6;6;500;600;1200;200;350;400;4;4;5;8;4;7;3;4;2;5;7;4;2;7;4;6;8;8;4;4;3;7;7;6;2;4;8;2;3;7;2;4;3;4;3;4;7;5;3;5;8;7;8;9;5;3;4;9;6;9;2;4;8;3;4;8;3;5;8;9;1;2;3;4;2;3;4;1;1;1;1;2;1;7;5;6;7;4;2;3;2;3;4;6;4;4;6;2;1;1;2;2;1;6;58;1;3;3;2;1;"14471";1
"546965";"Berlin";10;7;8;6;6;5;4;6;5;7;7;5;10;10;10;10;10;10;10;10;50;280;1000;100;0;0;10;10;10;5;10;10;10;10;0;8;8;8;6;5;0;7;7;7;10;8;10;8;8;7;8;10;8;7;10;8;8;8;5;5;0;5;8;10;2;5;0;8;8;7;5;8;8;3;5;8;0;8;0;0;5;5;2;8;10;8;8;0;8;0;0;3;7;6;5;5;1;3;2;7;7;6;6;1;7;1;1;1;3;6;7;6;6;1;4;1;2;7;1;1;86;2;5;1;1;1;"13409";NA
"552829";"Berlin";9;8;10;9;8;8;9;8;7;7;8;7;7;6;8;9;9;8;7;8;500;400;2000;300;100;150;2;5;5;7;7;8;9;8;6;9;7;7;6;5;5;8;8;7;7;7;8;9;8;10;8;9;8;7;7;7;8;7;5;6;0;4;7;7;6;6;5;5;6;5;5;4;5;4;3;9;0;4;5;0;3;4;5;5;8;7;7;3;3;1;2;1;4;4;6;6;1;2;6;5;6;5;7;5;6;5;1;2;3;2;3;3;3;2;4;2;3;3;1;3;73;1;3;3;4;1;"14193";2
