"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"549641";"Bonn";10;9;10;10;10;9;9;10;8;10;10;10;9;10;6;10;9;10;9;8;200;230;550;15;420;30;8;7;5;10;7;5;10;10;8;10;10;9;10;7;5;10;10;10;10;10;10;9;9;9;10;10;10;8;10;10;9;10;9;10;1;9;9;8;6;6;1;8;8;10;9;10;10;8;2;7;8;3;8;3;8;10;10;8;10;2;5;1;1;5;5;3;6;4;1;1;1;5;4;4;6;6;6;1;2;2;4;4;5;3;2;2;4;1;2;2;1;6;6;5;53;2;3;1;2;2;"53340";3
"549609";"Bonn";8;10;10;10;8;8;8;10;5;10;10;10;8;10;0;8;7;8;5;9;60;200;300;50;50;10;3;8;6;8;5;9;5;7;3;5;0;5;0;0;0;5;5;2;2;5;7;7;6;6;7;5;5;5;0;8;8;6;0;8;0;5;5;5;0;0;0;8;6;0;0;6;8;8;7;8;8;5;2;0;0;10;10;7;8;0;0;0;0;5;0;3;7;4;7;6;2;5;4;5;3;5;4;1;2;7;1;2;2;6;4;3;2;2;2;1;2;4;2;5;40;2;3;1;2;4;"53894";1
"549135";"Bonn";8;7;10;6;8;8;7;5;5;3;3;10;2;7;7;9;4;5;5;4;150;400;600;60;200;50;0;4;5;6;2;3;9;10;6;10;6;6;6;8;9;10;9;10;8;10;10;7;10;10;10;10;10;10;7;10;10;10;2;3;0;2;0;0;0;5;3;8;7;9;5;9;9;1;0;5;5;0;2;0;0;10;7;9;10;0;0;0;0;5;1;3;7;6;6;6;1;3;4;5;7;5;7;6;6;7;4;6;6;7;3;2;4;2;4;1;2;4;6;7;25;1;2;1;3;2;"53639";1
"550614";"Bonn";8;10;10;9;5;10;6;8;1;10;1;10;0;2;NA;5;0;NA;NA;NA;NA;200;300;NA;NA;NA;8;2;0;8;NA;NA;5;6;0;5;3;2;0;0;0;9;9;5;5;6;7;5;0;10;5;10;8;0;8;10;10;2;1;7;0;8;0;0;0;5;0;8;8;4;0;6;8;4;0;7;1;1;0;0;4;10;10;2;5;5;5;0;0;0;0;3;3;1;2;1;5;7;5;5;5;7;3;1;1;1;1;2;4;5;5;5;5;1;1;1;4;2;3;5;76;2;5;1;1;4;"41363";NA
"550614";"Bonn";8;10;10;10;10;10;9;10;6;4;3;10;5;5;2;7;4;2;2;1;45;280;250;30;280;30;4;3;2;2;0;0;9;8;3;7;8;6;6;8;3;7;6;2;0;3;4;9;3;7;7;5;5;2;7;7;8;7;4;3;0;3;5;3;5;5;1;4;3;1;0;2;3;3;0;3;2;0;2;0;3;7;8;5;10;5;3;0;0;1;5;3;7;7;2;5;2;7;3;3;5;7;6;6;5;6;4;4;6;7;2;4;5;2;2;2;3;3;3;1;27;2;2;3;1;3;"73430";3
"549560";"Bonn";10;10;10;10;10;10;10;10;10;10;10;10;10;9;10;10;10;10;10;7;150;450;NA;60;30;100;10;8;5;5;7;6;10;10;5;10;10;10;5;10;3;10;10;10;10;10;10;10;5;10;8;10;10;5;10;10;10;10;10;10;0;10;8;10;1;10;1;10;10;10;10;10;10;10;5;10;8;8;10;5;10;10;10;10;10;10;10;0;0;0;0;3;5;3;2;2;1;3;4;3;4;5;6;1;1;2;2;3;2;3;1;1;1;2;2;2;1;2;2;5;46;1;3;1;NA;3;"53175";1
"549442";"Bonn";10;10;10;10;10;10;10;10;10;10;10;10;9;10;8;10;7;7;6;4;200;500;800;200;100;80;4;5;6;3;2;2;10;10;10;10;10;10;10;10;10;10;10;8;8;8;9;8;10;10;9;9;10;9;9;10;10;10;9;9;8;9;10;8;9;9;7;8;8;6;5;5;4;4;6;8;4;8;7;3;7;9;8;7;10;10;10;8;10;8;10;1;6;4;4;4;1;6;2;6;6;6;7;6;7;7;5;4;5;6;5;5;5;5;5;4;4;6;3;6;39;1;3;2;2;1;"50827";2
"549609";"Bonn";8;6;9;9;7;6;7;2;6;6;4;7;2;2;4;6;5;6;4;4;100;80;500;20;50;40;3;8;8;9;2;9;6;10;5;7;4;3;3;7;5;7;4;9;8;8;8;7;6;6;7;1;5;7;6;10;9;9;3;1;7;3;0;9;0;6;2;8;6;10;8;10;10;3;2;4;7;0;4;7;0;10;6;6;8;1;1;0;0;2;0;3;6;4;2;2;1;6;3;5;6;5;5;6;4;2;5;3;3;4;1;1;1;4;3;2;2;5;3;2;22;1;3;5;3;4;"53343";1
"549254";"Bonn";8;10;10;9;10;9;7;8;8;8;8;10;8;5;8;8;8;7;10;8;60;120;1000;50;100;50;3;NA;4;6;4;4;5;3;3;8;6;4;5;5;5;6;6;5;5;5;2;5;5;5;5;6;5;5;5;6;6;6;1;1;0;7;3;2;1;5;4;6;6;4;5;4;1;6;4;4;4;5;5;4;4;6;6;7;8;3;4;0;0;2;1;3;6;3;5;6;2;NA;NA;6;1;5;6;2;2;4;1;1;1;3;1;1;1;7;1;1;1;2;1;3;57;1;3;3;4;4;"56659";1
"549135";"Bonn";10;10;10;10;10;10;10;10;9;10;9;10;9;10;8;9;9;9;8;8;30;700;1000;50;50;20;7;7;6;5;5;5;10;10;10;10;10;10;9;10;9;10;10;10;9;10;10;10;10;10;10;10;10;10;10;10;10;10;2;5;0;6;8;8;8;10;2;10;10;8;9;9;10;5;5;8;4;10;8;2;7;10;8;8;10;2;5;2;0;1;0;3;5;1;1;1;1;2;1;2;6;5;6;1;3;1;1;1;1;1;1;1;1;2;1;3;4;2;4;6;57;2;4;1;2;1;"53229";NA
