"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"551467";"Bremen";6;8;9;7;9;8;9;6;7;5;4;9;2;3;3;6;7;8;4;6;30;15;0;20;30;20;7;3;4;3;4;4;8;10;0;8;5;8;3;9;3;8;5;8;NA;8;9;5;7;8;8;9;8;7;9;9;8;9;3;4;0;4;1;10;5;5;0;5;4;8;NA;4;9;5;2;3;4;4;3;2;1;6;4;5;5;5;3;0;0;0;0;3;6;5;4;6;2;5;3;6;2;5;6;6;4;6;3;2;6;5;3;2;3;2;5;5;2;6;4;5;17;1;1;5;1;4;"27367";NA
"547852";"Bremen";8;6;10;9;7;3;4;10;7;2;6;8;1;4;5;4;5;4;5;5;250;200;600;180;75;50;4;8;4;8;3;8;10;6;7;10;9;8;6;2;6;2;7;3;9;5;4;8;7;10;6;8;9;2;4;10;7;8;8;4;8;7;6;5;6;5;4;5;4;6;7;8;9;6;6;5;4;5;4;3;6;7;8;6;9;4;6;1;2;7;4;3;5;3;7;1;3;2;2;4;5;4;4;5;5;7;2;6;5;5;4;5;5;4;6;5;7;2;6;2;49;2;3;3;2;2;"28832";NA
"553737";"Bremen";10;10;10;10;10;10;2;3;0;0;0;0;0;0;10;5;10;2;0;0;100;200;50;60;80;20;10;0;2;5;1;0;10;10;10;10;0;10;0;10;6;5;5;10;6;10;2;3;10;6;10;5;7;10;4;10;10;10;6;10;0;10;0;10;0;10;4;5;5;6;2;3;4;5;10;2;9;8;1;6;9;6;8;4;6;0;0;0;0;0;10;3;3;4;2;6;7;1;3;5;4;1;1;3;2;5;7;2;4;1;7;4;2;7;2;1;3;2;5;1;68;2;5;NA;NA;3;"29646";NA
"551285";"Bremen";8;7;9;6;8;10;9;10;8;8;9;10;6;10;5;8;6;3;4;3;55;300;170;60;25;20;5;8;6;8;7;6;8;10;9;10;3;3;2;8;1;7;8;7;1;8;9;8;10;7;8;5;10;10;9;8;10;10;8;7;0;0;6;6;7;8;0;5;2;4;1;8;7;1;5;7;3;9;7;0;5;10;10;8;10;8;6;0;0;0;0;3;5;4;1;3;2;4;7;7;4;4;5;2;5;1;1;2;2;4;1;1;2;1;1;1;3;7;4;4;21;2;2;1;1;1;"80634";1
"554451";"Bremen";7;4;10;10;10;8;8;10;10;10;10;10;7;10;8;10;8;8;5;4;40;350;160;80;0;0;8;8;7;5;5;0;8;8;8;8;8;8;0;7;4;10;10;8;8;8;8;8;10;8;8;10;8;8;10;10;8;10;3;5;0;2;0;1;0;4;0;6;7;0;6;8;6;5;4;6;5;10;6;0;4;10;6;6;10;0;0;0;0;1;0;3;5;3;3;3;5;6;6;6;4;4;5;1;2;3;6;1;2;2;2;2;2;5;5;5;4;7;4;3;51;2;3;4;1;4;"28197";1
"547826";"Bremen";8;7;10;9;8;8;7;8;10;8;7;8;8;10;9;9;7;8;9;9;100;250;200;150;20;50;8;9;7;9;10;10;9;9;5;9;8;9;6;3;3;9;8;8;5;5;9;9;8;8;5;8;10;5;9;10;10;9;2;0;0;8;8;9;7;8;4;9;6;4;4;6;7;8;4;9;0;10;9;0;8;10;10;5;9;0;7;0;0;8;1;3;5;4;1;2;2;6;2;7;6;6;6;2;5;7;5;6;4;5;3;2;2;2;3;4;2;2;2;6;77;2;5;1;3;3;"29640";3
"553254";"Bremen";10;10;10;10;10;10;8;7;5;4;2;5;7;4;7;5;7;6;3;10;20;100;NA;5;100;10;5;10;3;4;5;10;7;10;0;10;10;2;7;10;0;10;9;10;10;10;10;10;4;10;7;10;10;3;10;10;10;10;1;10;0;7;6;0;7;10;0;5;7;10;0;10;10;0;0;7;3;7;10;0;6;10;8;8;8;5;3;0;2;5;4;3;3;1;4;1;5;2;1;7;7;4;4;1;1;2;7;5;5;7;1;2;1;7;2;1;1;7;7;7;62;1;6;1;NA;4;"29664";NA
"550736";"Bremen";8;7;9;9;9;6;7;8;8;8;7;9;5;9;5;9;7;8;6;6;150;100;700;40;115;15;6;8;6;7;7;5;6;4;3;8;7;6;8;9;5;8;8;7;7;8;9;8;7;8;6;8;5;5;8;10;9;9;4;1;0;0;6;0;0;9;4;7;8;7;5;6;9;1;2;7;6;7;5;0;7;10;9;8;10;7;8;0;0;0;0;3;7;6;3;4;2;6;4;6;5;7;7;4;6;5;5;6;4;6;2;3;2;4;5;3;2;5;5;7;31;1;3;1;2;3;"27383";1
"550712";"Bremen";10;10;10;10;10;10;10;10;5;10;10;10;5;5;5;8;8;5;5;5;1;55;45;30;55;5;10;3;5;8;5;8;5;10;3;3;8;5;5;5;0;9;9;9;9;9;10;8;8;8;8;10;8;8;10;8;10;10;3;10;0;8;6;5;5;5;0;7;7;10;10;10;10;8;7;8;8;7;8;6;8;10;8;9;10;5;5;0;2;5;0;3;5;5;2;1;1;4;2;6;5;7;5;4;3;5;7;6;7;2;2;2;2;2;2;1;4;2;2;4;59;2;3;1;3;1;"28215";1
"550712";"Bremen";8;8;9;8;9;9;8;9;7;7;9;10;5;10;8;10;8;9;9;9;100;500;200;50;400;100;5;8;7;8;5;5;7;8;9;9;9;8;7;7;2;8;8;6;9;8;8;8;7;9;8;8;8;5;7;5;7;8;2;10;1;9;8;5;5;6;2;7;7;5;9;8;7;5;5;9;5;5;7;1;7;8;8;8;8;5;4;3;1;5;1;3;4;1;2;2;1;3;3;6;5;5;5;3;3;4;4;2;3;4;3;3;4;2;3;3;2;4;2;3;61;1;3;2;3;1;"28215";1
"549151";"Bremen";8;8;8;8;8;8;8;10;6;10;8;10;6;6;5;5;5;5;5;5;100;200;200;100;200;50;5;5;8;5;5;8;10;10;10;10;10;10;10;10;10;10;10;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;10;0;8;5;7;3;8;0;8;8;8;10;8;5;3;5;5;5;5;8;3;5;10;8;8;8;5;5;0;0;0;0;3;5;4;2;2;1;4;2;6;4;3;7;4;5;7;2;5;6;7;4;4;4;5;5;4;5;4;4;6;51;2;3;3;2;4;"26936";1
