"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"550327";"Dortmund";9;9;9;9;9;9;8;10;8;10;10;10;7;8;7;9;7;9;7;8;30;300;190;150;200;50;5;5;2;3;5;0;8;10;7;8;6;6;6;6;6;8;8;6;6;8;8;6;6;8;6;6;8;6;6;9;8;9;0;0;0;0;5;5;0;8;0;8;8;9;1;8;7;5;1;8;1;3;6;0;2;10;9;6;10;1;1;0;0;0;0;3;7;5;2;3;1;2;2;7;7;7;7;1;2;4;1;1;1;5;1;4;1;1;1;1;1;4;1;1;56;2;3;1;2;3;"59439";1
"551521";"Dortmund";10;8;10;10;7;10;8;8;8;8;8;10;1;10;3;3;5;3;4;7;100;350;450;250;130;60;1;3;0;4;5;5;10;10;8;10;8;8;5;7;5;8;8;8;8;7;9;5;6;6;5;7;7;6;6;10;10;7;10;10;1;3;10;4;3;10;6;5;8;2;10;5;10;2;2;8;3;2;1;1;6;10;7;3;10;0;0;0;0;2;3;3;7;7;3;3;2;7;5;7;7;6;7;5;7;6;2;2;3;7;3;3;1;1;5;1;4;5;4;6;51;2;3;2;NA;1;"44149";1
"544936";"Dortmund";10;10;10;10;10;10;10;10;10;10;10;10;0;0;0;0;0;0;0;0;100;200;0;150;100;0;0;0;0;0;0;0;10;10;5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;3;7;7;1;1;5;7;7;7;7;1;1;7;7;7;7;7;7;7;7;3;3;1;7;7;7;6;1;1;24;2;2;3;1;2;"44135";NA
"548921";"Dortmund";7;8;10;7;7;10;5;0;0;0;0;0;0;0;0;3;0;0;4;9;10;150;1000;80;250;30;0;3;0;3;0;3;10;10;8;10;10;10;0;5;0;10;10;8;8;8;8;4;5;8;10;9;7;8;8;10;10;9;0;10;0;6;0;0;0;5;0;7;3;8;7;8;8;1;0;5;3;5;2;0;0;10;4;5;10;0;0;0;0;1;1;3;6;7;4;5;1;4;1;7;7;4;4;3;5;2;2;2;5;7;4;4;3;2;1;1;3;5;7;7;44;1;3;3;2;2;"59494";1
"525944";"Dortmund";10;10;10;10;10;10;10;10;10;10;10;10;10;10;7;7;6;9;10;8;30;350;500;60;30;20;5;3;4;8;5;9;8;8;3;7;8;3;0;10;0;10;8;3;3;8;7;7;7;9;4;4;10;3;6;10;10;9;8;0;0;8;8;0;0;10;0;7;8;7;5;8;8;4;2;7;0;3;6;0;4;10;10;9;10;2;6;8;0;8;0;1;6;3;2;1;1;1;2;7;2;6;7;1;6;2;5;3;4;6;1;1;1;6;6;5;3;4;6;5;67;2;5;3;1;1;"44328";NA
"548938";"Dortmund";10;6;7;8;5;9;7;10;1;4;7;9;6;8;8;10;9;1;2;2;80;50;10;300;40;0;5;10;4;3;3;1;10;10;10;10;5;0;4;10;10;8;9;10;10;10;10;10;5;5;9;7;10;7;10;10;9;6;0;7;2;0;0;0;2;10;8;8;5;2;3;4;5;10;0;4;2;2;9;7;0;6;6;4;8;5;5;0;2;0;3;3;7;5;4;3;1;4;3;4;4;4;6;5;5;5;2;3;2;4;1;2;2;6;6;3;7;6;7;7;21;2;3;1;1;2;"44894";1
"478582";"Dortmund";8;6;8;9;8;10;9;4;3;3;2;6;2;5;9;10;9;6;4;6;120;150;600;30;50;20;4;8;7;5;4;5;7;9;6;7;6;8;4;7;2;8;8;9;9;9;8;8;7;7;6;8;7;8;5;NA;7;7;0;2;0;1;2;0;0;3;0;4;6;10;9;8;6;6;4;7;8;2;5;4;3;NA;8;7;7;0;0;0;0;5;0;3;6;4;6;6;1;5;3;5;4;7;6;5;6;3;3;3;4;5;2;1;4;3;2;2;4;3;5;7;32;1;3;1;2;2;"45549";1
"541058";"Dortmund";10;10;10;10;10;10;10;10;10;10;8;10;3;10;10;10;10;10;10;10;0;300;700;50;120;30;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;10;10;10;8;10;3;10;10;10;10;10;10;10;10;9;10;10;10;10;10;10;10;10;10;0;10;0;10;10;0;1;2;1;4;5;1;7;7;1;7;7;7;1;1;1;7;1;7;1;1;7;1;1;1;1;1;7;1;1;26;1;2;3;1;2;"44147";NA
"552422";"Dortmund";8;8;8;6;5;3;4;6;3;4;3;5;3;2;5;5;5;5;5;5;25;80;125;10;70;0;2;3;1;0;2;3;5;4;2;6;5;4;4;7;7;4;2;1;0;5;4;7;5;6;6;5;5;5;3;7;2;2;3;1;4;2;3;2;1;0;3;2;1;4;2;1;5;3;2;4;3;2;6;2;4;5;2;3;6;4;2;3;4;5;2;3;7;5;2;4;2;3;5;3;4;3;2;1;3;5;2;1;2;1;3;2;4;2;3;3;3;1;1;2;66;1;5;1;1;1;"41236";NA
"549364";"Dortmund";8;8;8;10;10;10;7;5;3;3;5;5;5;5;0;2;0;8;2;10;120;320;600;50;150;50;1;1;1;5;5;8;7;7;7;7;5;8;5;10;0;10;10;8;8;6;10;6;10;10;8;10;10;10;10;8;10;10;0;8;8;8;0;8;0;10;0;10;10;6;6;8;10;10;2;8;8;8;8;8;8;5;2;5;8;2;2;0;2;0;0;3;7;4;4;4;5;2;3;7;4;4;4;1;4;4;4;7;7;7;1;1;7;1;1;1;3;7;7;7;82;2;5;3;2;1;"59069";NA
