"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"551580";"Duisburg";8;7;8;7;8;8;8;6;5;8;7;9;8;6;5;6;3;2;0;2;180;50;0;50;100;20;8;9;5;7;6;6;10;10;10;10;8;8;7;6;7;7;10;10;6;8;8;7;8;8;10;10;10;10;8;10;6;10;2;7;0;2;4;4;3;4;2;7;8;8;6;8;8;7;5;7;6;3;7;6;5;10;6;7;3;0;0;0;0;1;3;3;7;5;1;4;3;4;5;1;6;4;5;3;4;7;3;3;4;5;1;1;3;2;3;2;2;3;6;6;21;2;3;1;1;2;"47608";1
"552219";"Duisburg";10;10;9;9;8;9;7;2;2;2;4;10;5;8;0;6;4;5;3;3;15;150;400;50;30;30;0;2;4;8;8;9;7;8;4;7;5;5;4;6;2;6;6;8;3;3;7;6;3;9;8;9;10;4;7;6;7;5;2;0;0;9;3;3;2;7;0;8;9;3;3;7;7;8;0;8;2;8;9;2;6;9;6;7;10;0;0;0;0;3;0;3;4;2;1;1;7;7;7;4;4;5;5;1;1;1;4;3;2;4;5;3;5;4;2;2;2;4;3;6;81;1;5;1;1;2;"40885";NA
"537631";"Duisburg";10;10;10;10;10;10;10;7;7;5;5;9;2;4;8;10;7;6;7;6;100;300;700;600;0;0;4;8;5;6;6;5;10;10;10;10;5;5;5;5;2;10;10;8;8;10;10;10;10;10;5;5;10;7;10;6;10;10;0;0;0;2;0;5;5;5;0;8;8;8;8;10;10;6;4;10;0;0;10;0;2;6;10;4;10;0;0;0;0;0;0;3;5;2;2;4;1;7;4;7;5;6;6;3;2;5;1;1;4;7;6;6;6;2;4;3;4;6;2;5;67;1;3;2;1;1;"47198";2
"553823";"Duisburg";6;4;6;5;5;6;6;3;4;3;4;5;3;5;6;3;4;3;6;4;50;200;400;50;20;10;0;3;3;5;3;6;5;8;3;7;5;4;4;3;3;4;5;5;7;7;7;5;4;5;5;4;4;3;3;6;5;7;1;10;0;8;0;0;0;3;0;3;3;5;7;7;7;4;2;4;3;6;6;2;4;6;7;5;6;0;0;0;0;0;0;3;6;4;3;3;1;3;3;2;4;3;4;2;4;2;2;3;2;3;1;3;3;4;3;3;4;5;5;5;60;1;3;1;1;1;"47279";1
"542859";"Duisburg";8;8;10;6;10;8;5;5;5;5;5;5;5;5;3;8;8;2;5;1;100;150;200;50;70;20;2;0;7;3;2;2;8;2;0;2;8;6;5;10;10;10;2;10;8;8;8;8;3;3;3;0;2;0;5;10;8;9;8;2;0;2;8;6;5;10;10;10;2;10;8;8;8;8;3;3;3;0;2;0;5;10;8;9;10;7;7;5;0;2;0;3;6;6;7;5;1;7;5;7;5;7;6;6;6;6;4;5;5;5;4;6;3;4;3;5;1;4;5;2;24;1;3;3;2;1;"44797";1
"546695";"Duisburg";10;8;10;10;9;8;8;7;5;8;5;9;6;10;1;5;5;10;10;5;30;30;0;10;30;5;2;6;3;1;5;2;10;10;5;6;10;8;8;8;7;10;10;10;10;10;10;10;10;10;9;10;10;10;10;10;10;10;7;8;0;6;10;4;5;5;3;7;8;0;2;5;3;2;1;10;3;0;3;5;3;4;0;0;10;4;8;0;8;5;4;1;7;7;5;4;1;5;2;7;7;7;6;6;7;5;2;1;7;7;5;3;3;7;7;2;7;6;2;2;69;1;5;3;1;1;"45355";NA
"548849";"Duisburg";10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;5;6;7;5;10;100;400;600;100;150;0;3;3;3;5;5;8;10;10;8;10;10;10;10;10;3;10;10;8;8;10;10;8;10;10;10;10;10;10;10;10;10;10;0;3;0;5;3;1;0;8;2;5;5;8;5;8;8;5;2;4;0;8;0;0;2;10;10;5;5;0;5;0;5;5;0;3;5;3;5;1;4;1;4;7;7;7;7;2;5;7;1;1;4;5;3;2;2;2;4;2;2;5;6;6;49;2;3;3;2;2;"46539";1
"553530";"Duisburg";10;10;10;10;10;10;10;10;10;10;8;10;9;10;2;1;3;1;4;1;200;150;600;100;30;20;1;2;3;5;2;1;10;9;8;7;8;7;6;5;6;4;7;6;3;4;6;9;8;9;10;7;6;8;4;6;5;2;0;0;0;1;3;2;4;1;5;6;6;7;3;4;8;7;6;4;3;5;6;3;4;10;5;2;0;0;0;0;1;3;2;3;7;7;3;2;4;1;2;6;7;4;3;5;6;7;3;2;1;4;1;2;4;1;3;1;1;2;3;4;51;2;3;1;2;3;"47506";1
"548849";"Duisburg";7;5;7;7;7;8;7;1;1;1;3;6;1;2;4;7;3;6;5;5;200;200;800;200;400;100;5;7;6;4;4;5;3;8;3;6;1;2;2;5;4;7;8;5;6;6;6;4;7;8;8;8;7;7;5;8;7;8;0;2;2;2;2;2;2;5;2;8;8;7;6;6;7;4;3;7;5;3;6;3;4;8;5;5;7;0;0;0;0;3;0;3;7;6;3;5;1;4;5;6;6;5;6;4;4;3;5;5;5;4;3;5;5;2;5;3;2;3;4;5;30;2;3;3;2;1;"47269";1
"548849";"Duisburg";9;10;10;7;8;8;7;10;10;10;10;10;10;10;5;6;7;6;5;8;30;450;850;100;250;100;3;3;3;4;4;5;8;10;6;10;8;5;8;6;5;8;6;7;7;7;7;6;8;8;7;8;7;6;0;8;7;6;8;10;5;5;6;8;6;6;5;7;6;7;6;4;6;6;6;6;7;8;7;5;5;7;5;7;10;1;3;2;2;1;4;3;6;4;2;2;5;5;5;5;7;4;5;2;4;2;3;2;5;7;2;1;3;4;3;2;NA;3;5;5;28;2;3;3;2;1;"40477";1
