"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"551581";"Düsseldorf";8;9;9;8;7;8;8;8;8;8;8;7;8;8;9;9;9;9;9;9;200;250;900;100;50;50;8;8;8;8;8;8;8;7;7;4;7;6;8;7;8;8;7;7;7;7;6;7;8;7;7;6;7;5;7;5;5;7;8;4;6;8;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;5;5;1;1;6;2;3;4;5;5;4;4;5;4;3;4;2;3;3;4;4;3;3;3;4;2;4;3;4;5;3;4;4;2;3;36;2;7;2;1;1;"41468";NA
"547925";"Düsseldorf";9;9;9;9;9;9;9;5;9;3;5;10;4;10;7;8;6;8;8;8;200;300;350;100;100;50;2;4;5;8;8;5;0;0;1;0;0;6;1;4;0;9;8;2;4;8;2;7;9;9;8;4;8;2;2;9;10;10;0;0;1;0;1;3;1;4;0;9;8;2;4;2;2;9;5;5;5;5;9;2;2;9;10;10;10;4;4;0;0;0;0;3;6;2;3;3;7;7;6;7;6;7;7;3;3;6;4;2;2;6;6;6;4;2;3;3;1;3;1;5;54;1;3;3;2;4;"53804";1
"547927";"Düsseldorf";5;8;10;10;10;10;9;10;10;5;8;10;8;10;1;5;3;5;5;6;450;150;150;100;500;100;9;7;8;5;5;5;7;10;7;10;6;7;3;0;4;10;8;7;5;6;10;6;7;10;5;10;6;0;10;0;10;10;0;10;0;10;5;7;3;6;10;7;6;7;7;8;8;6;5;8;5;8;5;0;8;8;10;7;8;8;7;0;5;2;5;3;2;2;1;1;7;4;2;4;7;5;5;3;2;3;5;5;2;5;4;5;2;5;5;5;2;2;5;5;45;2;3;1;1;2;"42781";1
"549424";"Düsseldorf";8;8;8;9;9;9;7;9;7;10;9;10;3;10;2;2;10;2;2;0;700;400;1500;250;200;50;5;4;3;5;5;8;8;8;2;5;9;9;9;8;3;8;8;6;3;7;8;8;6;3;7;8;8;7;7;8;2;5;2;7;0;5;10;10;7;9;2;9;5;2;1;8;5;2;5;5;5;1;3;2;5;10;8;6;10;10;10;2;9;8;5;2;6;6;3;2;2;4;3;5;6;4;3;7;7;7;3;2;2;6;4;4;2;1;5;5;1;3;3;2;79;2;5;1;3;1;"40476";NA
"540498";"Düsseldorf";7;6;8;5;8;8;8;8;8;5;7;7;5;6;7;8;10;5;6;5;250;150;200;30;50;30;5;7;8;5;6;5;8;9;8;8;10;10;10;8;7;10;10;7;10;8;10;7;7;10;8;10;9;7;7;7;9;8;1;7;0;2;6;4;6;7;0;7;5;6;10;5;2;4;1;7;7;2;0;0;5;9;4;8;9;6;5;0;0;9;0;3;5;3;2;1;1;6;6;5;7;6;4;3;5;5;3;2;2;5;5;4;4;4;4;1;2;6;2;4;46;1;3;3;1;1;"45130";1
"548029";"Düsseldorf";9;9;8;9;6;7;8;9;7;8;8;8;6;8;6;6;7;8;7;5;250;300;200;150;200;100;0;0;3;10;0;10;10;9;8;10;10;10;7;10;5;5;5;10;10;10;10;10;10;9;10;10;8;8;10;10;10;10;4;9;1;9;9;9;1;8;1;9;9;10;9;8;9;8;6;9;4;10;9;1;10;9;9;7;10;5;4;0;0;0;0;3;4;5;2;2;1;5;6;6;4;5;5;2;4;3;5;4;5;7;5;4;4;6;4;6;2;6;5;6;82;1;5;1;2;2;"40764";NA
"550892";"Düsseldorf";8;10;10;10;8;9;8;8;10;8;10;10;5;10;8;10;5;8;9;5;600;700;1000;300;200;50;5;10;5;8;8;8;10;10;10;10;8;8;8;8;8;10;10;10;10;10;10;10;10;10;10;10;9;9;10;10;10;10;2;2;3;2;4;4;3;10;0;10;10;10;10;10;5;6;9;9;10;10;9;7;5;9;7;10;10;0;8;0;0;5;5;3;7;7;6;6;7;6;3;4;6;7;7;5;7;5;1;1;1;7;4;4;1;1;5;1;7;7;6;7;55;2;3;1;3;1;"50969";1
"544418";"Düsseldorf";8;7;9;10;9;8;8;5;5;7;5;8;3;8;8;8;6;7;6;5;100;150;900;50;300;50;8;6;8;7;0;6;10;10;0;5;2;0;5;8;0;8;10;NA;8;9;10;8;10;5;1;9;8;8;9;9;8;8;10;10;0;5;2;0;5;10;0;8;10;NA;2;9;10;0;0;7;1;0;7;0;9;9;7;5;8;0;0;0;0;3;0;3;6;5;3;2;2;6;4;7;6;6;6;5;6;6;4;4;5;6;5;3;1;3;1;1;2;4;6;6;31;1;3;2;2;1;"40221";1
"459141";"Düsseldorf";5;6;6;7;6;6;6;5;5;5;6;6;5;5;5;5;4;9;8;3;300;300;250;1000;600;200;6;8;6;2;5;7;6;6;6;6;6;5;6;7;7;7;6;5;6;6;6;5;6;6;7;6;6;6;6;6;6;5;6;6;6;6;6;5;6;7;7;7;6;5;6;6;6;5;6;6;7;6;6;6;6;6;6;5;5;5;5;5;5;5;5;3;7;6;6;6;5;6;6;5;6;7;6;6;6;6;6;6;6;7;7;7;7;7;7;7;7;7;3;7;67;1;5;1;2;3;"45889";NA
"549244";"Düsseldorf";10;10;10;10;10;10;10;10;10;10;7;10;5;5;10;8;7;7;8;8;400;300;400;100;100;50;8;5;5;7;6;9;9;9;7;8;4;4;4;7;5;9;9;10;5;10;10;10;8;8;8;8;7;7;4;10;10;10;7;8;0;6;3;3;3;8;2;9;9;10;5;10;10;7;5;8;4;3;7;5;4;10;10;10;10;4;4;2;1;4;1;3;6;5;4;4;2;2;4;6;5;6;6;4;4;5;6;4;3;6;2;2;1;4;5;4;5;5;2;5;57;1;3;1;2;2;"40595";1
"551310";"Düsseldorf";5;8;8;8;6;9;6;5;5;6;7;10;4;8;6;5;5;8;5;5;100;250;150;50;50;50;0;5;5;5;5;4;7;8;6;7;6;5;8;7;5;8;8;8;6;7;8;8;7;9;8;8;8;8;8;9;10;8;10;9;0;9;2;4;0;8;0;8;8;7;7;10;10;7;7;9;4;8;9;6;8;10;10;10;6;3;3;0;0;2;0;3;5;4;5;5;6;3;6;6;6;6;6;2;6;4;4;3;3;7;3;3;3;2;3;2;5;5;5;7;70;1;5;1;1;1;"42699";NA
"544776";"Düsseldorf";8;8;10;9;10;10;5;10;10;10;8;10;6;10;6;8;4;5;4;2;100;150;50;150;150;30;2;7;8;4;1;3;6;8;4;8;9;8;1;10;0;10;8;7;9;8;9;5;9;6;8;8;9;8;7;7;10;9;4;5;0;1;8;9;0;8;1;7;8;7;9;8;7;5;4;3;3;2;4;2;4;10;8;4;10;2;5;2;1;1;0;3;7;6;2;2;2;7;5;7;7;5;6;6;6;4;3;1;3;5;5;2;3;3;4;3;6;5;7;6;22;2;2;1;1;2;"46562";1
