"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"551011";"Essen";10;10;10;9;9;10;10;10;10;9;9;10;9;10;8;10;7;7;7;8;25;250;700;200;70;30;3;8;7;3;3;7;10;10;10;9;9;10;9;9;0;10;10;10;10;9;9;9;9;10;9;10;9;10;10;10;10;8;7;0;0;0;7;6;7;7;0;4;5;6;3;5;8;7;6;8;8;8;6;7;8;5;6;6;10;4;10;2;2;1;0;3;5;4;3;3;2;7;7;6;6;7;6;5;6;6;4;4;4;6;7;4;5;4;4;3;4;5;7;7;77;2;5;1;2;2;"58285";NA
"552436";"Essen";9;0;9;8;6;4;9;10;0;8;8;5;7;10;5;6;8;4;9;9;1500;1000;2000;700;1000;500;7;10;8;6;9;9;10;10;7;10;10;8;9;9;0;7;9;8;10;6;7;5;9;10;7;10;7;8;10;10;9;10;0;0;0;0;0;0;0;0;0;0;0;8;10;6;7;5;2;9;2;8;6;0;7;7;6;6;9;0;0;0;0;1;0;3;7;7;7;7;6;7;1;3;5;5;7;7;7;7;1;1;2;7;7;5;7;1;4;1;6;7;1;1;38;1;3;5;4;1;"10115";2
"552229";"Essen";7;7;8;8;6;8;6;8;8;7;7;9;4;9;7;8;5;6;6;5;30;50;0;60;40;20;4;2;8;6;5;8;7;8;5;5;4;4;4;2;4;4;4;5;5;5;7;5;7;7;6;5;5;2;3;8;8;8;10;10;0;9;3;8;3;9;2;5;5;5;5;8;2;1;7;8;2;2;7;0;5;10;10;6;8;3;3;2;1;5;5;3;7;7;2;2;4;6;4;6;5;4;4;6;6;5;4;5;2;4;3;3;3;4;5;4;5;5;4;4;15;2;1;5;1;1;"45481";NA
"549169";"Essen";6;6;6;6;6;4;4;2;2;2;2;6;2;2;4;4;3;5;3;3;300;150;620;150;150;40;0;3;3;4;3;3;8;8;2;7;5;6;5;3;4;8;8;6;6;6;6;7;8;8;8;9;7;5;10;7;8;9;2;2;0;0;0;0;0;4;0;6;5;5;6;8;4;3;0;4;3;2;3;0;1;10;5;5;5;0;0;0;0;1;0;3;7;7;4;4;1;4;3;6;5;4;6;6;5;7;4;6;1;6;3;1;4;6;6;3;4;6;5;5;19;2;2;5;1;1;"45309";3
"549052";"Essen";5;3;7;5;6;4;2;7;7;4;2;8;2;4;3;3;2;3;8;6;0;10;0;40;20;10;8;8;4;6;5;8;10;10;8;9;5;4;5;4;2;7;4;4;5;6;8;4;4;6;9;5;4;4;4;9;6;4;10;9;0;9;0;0;0;7;0;6;5;4;2;8;4;2;2;4;4;0;2;2;4;2;4;4;9;0;0;0;0;0;0;3;6;6;5;5;1;7;3;4;1;3;5;5;6;5;2;2;4;5;6;6;5;7;7;5;5;6;3;2;15;1;1;2;1;2;"45768";NA
"514906";"Essen";5;5;6;4;6;6;5;10;6;9;9;10;4;9;7;7;7;9;8;8;180;250;600;150;250;40;6;7;7;7;4;9;7;8;5;6;7;3;3;6;3;8;8;6;5;8;4;7;6;8;5;8;6;2;5;9;5;3;5;2;0;2;5;3;3;8;0;9;8;8;6;9;4;5;4;8;3;8;6;2;5;10;5;3;5;2;2;0;0;0;0;3;7;3;1;1;3;5;7;7;7;3;2;1;1;2;7;1;1;1;1;1;1;1;1;1;1;5;6;4;70;2;5;3;1;1;"45881";NA
"549672";"Essen";10;10;10;10;10;10;10;9;6;9;8;10;4;5;7;10;8;9;9;9;150;200;300;150;300;50;8;4;3;6;2;9;8;9;3;7;4;4;3;2;2;7;8;6;5;7;7;6;7;7;8;5;7;6;8;9;6;7;0;10;0;0;0;0;0;10;0;6;6;9;7;9;8;5;1;6;0;0;8;1;7;8;1;5;9;0;1;0;0;0;1;3;7;3;2;2;5;6;6;6;5;5;6;4;5;5;3;5;5;6;6;5;5;4;4;2;2;5;5;5;42;1;3;3;3;1;"45329";1
"550205";"Essen";10;10;10;10;10;10;10;10;3;3;3;6;4;3;10;10;10;10;10;10;NA;NA;NA;NA;NA;NA;10;10;10;1;10;10;10;10;10;10;10;8;8;10;10;10;10;7;7;7;7;6;6;5;3;5;3;3;3;6;4;3;10;10;0;9;10;8;9;10;10;10;10;10;10;10;10;10;8;5;9;1;1;1;0;10;9;7;10;10;10;0;7;9;NA;1;7;7;7;7;7;7;5;7;3;7;7;6;7;2;1;1;1;6;1;2;1;1;1;1;6;4;2;3;58;2;3;3;NA;1;"45130";2
"544819";"Essen";10;9;8;10;10;8;9;9;9;10;9;10;7;6;8;8;7;8;9;7;640;150;500;40;300;100;6;6;5;9;8;7;7;10;6;8;10;8;4;3;5;6;8;9;7;2;6;3;5;9;9;9;9;10;10;8;7;8;10;9;0;5;3;5;2;5;0;6;6;6;8;5;4;2;0;7;2;3;5;5;6;10;8;5;10;0;2;0;0;2;0;3;3;5;4;3;1;2;4;4;5;7;7;1;1;1;7;3;6;7;1;1;1;3;2;1;1;2;1;6;28;1;3;3;4;1;"47058";1
"550941";"Essen";7;7;9;10;7;7;6;7;8;7;7;9;6;9;5;9;4;8;5;7;450;400;800;100;150;50;3;3;2;8;8;6;8;9;5;9;8;8;8;9;9;8;8;8;6;8;8;8;9;8;8;6;8;8;8;10;9;8;0;3;0;0;4;9;5;9;6;6;6;9;4;9;9;7;7;4;7;2;6;6;8;6;6;5;8;4;1;0;0;2;0;3;7;7;6;7;4;6;5;5;6;5;5;5;5;5;4;4;5;6;4;4;4;5;4;2;5;4;4;4;26;2;7;1;2;2;"45892";1
"553003";"Essen";8;5;5;5;8;10;5;8;5;8;5;10;3;10;3;7;5;5;8;5;350;300;1200;75;200;50;3;5;5;8;5;5;5;8;3;8;5;5;3;5;3;8;8;8;8;8;5;8;8;8;8;10;8;8;8;8;8;8;1;3;0;3;5;3;0;5;0;5;8;8;8;8;5;5;5;10;3;8;3;0;3;8;8;5;10;0;3;0;0;0;3;3;4;1;5;4;1;4;5;7;4;4;7;2;3;3;1;1;3;7;4;5;5;3;2;2;4;7;1;5;56;1;3;3;3;2;"40789";1
"545462";"Essen";4;5;5;3;5;6;2;0;3;3;0;5;0;5;3;5;5;5;3;2;90;120;NA;50;200;50;2;2;3;7;5;7;7;8;7;6;3;5;3;1;1;3;2;5;0;5;9;5;1;7;5;2;7;5;0;3;1;2;2;2;0;1;0;1;0;6;6;1;1;7;0;8;6;5;0;7;1;0;4;0;0;3;1;2;5;0;0;0;0;0;0;3;3;3;2;2;1;4;4;1;5;3;2;2;2;2;1;1;1;3;1;2;1;3;1;2;1;4;3;5;24;1;3;1;2;1;"44269";1
"555047";"Essen";10;9;10;9;9;9;8;10;10;9;10;10;10;10;8;10;9;8;8;8;50;200;800;150;100;50;7;8;6;8;6;6;10;NA;NA;NA;8;8;8;NA;NA;8;NA;10;10;10;10;NA;NA;NA;NA;10;NA;NA;10;10;9;9;10;NA;NA;NA;6;6;6;NA;NA;6;NA;8;8;8;8;NA;NA;NA;NA;9;NA;NA;7;10;9;9;10;NA;NA;NA;NA;NA;NA;3;6;5;4;4;5;7;4;7;5;7;5;4;3;NA;NA;4;NA;NA;4;NA;NA;NA;NA;NA;NA;6;5;NA;67;2;4;NA;NA;1;"45143";NA
"546944";"Essen";9;9;9;9;8;7;7;10;7;10;10;10;4;10;2;9;7;9;7;9;150;200;500;200;100;50;1;4;4;7;2;9;9;9;4;8;8;8;8;5;7;8;9;9;8;9;8;8;7;7;9;8;8;8;7;6;7;9;3;4;3;4;5;7;8;4;4;2;2;2;8;9;7;6;2;5;5;3;4;3;3;9;9;6;9;3;5;2;1;3;1;3;7;6;5;4;4;6;7;6;7;6;4;7;7;6;3;4;2;7;6;3;5;7;5;3;6;5;4;5;52;2;3;1;2;2;"45529";1
"549050";"Essen";7;8;8;8;7;9;7;8;7;8;6;5;4;3;2;4;3;2;4;5;300;150;150;100;200;50;2;3;4;3;2;8;5;4;6;5;4;3;5;4;6;7;4;6;4;3;7;3;4;7;3;1;5;7;5;6;7;4;6;4;8;7;4;8;4;7;8;6;5;8;4;7;6;5;4;7;1;5;3;5;8;4;8;4;4;5;1;3;5;4;1;3;5;4;7;4;5;6;4;5;7;6;4;4;5;4;1;2;3;5;2;2;3;2;4;5;4;3;5;4;22;2;3;5;1;1;"46244";1
"551218";"Essen";8;7;8;9;8;5;10;6;7;9;5;10;4;8;10;10;10;8;10;10;100;300;250;50;150;20;5;9;8;10;10;10;10;10;7;8;10;8;5;7;3;8;7;5;3;7;9;9;8;8;8;8;8;7;8;8;7;8;9;6;0;10;7;4;0;8;0;4;4;8;0;7;7;6;2;7;2;8;6;4;6;6;2;4;7;5;5;0;0;2;0;1;4;4;6;6;1;2;1;3;3;7;7;1;1;1;7;3;2;5;1;1;1;5;5;1;1;1;1;4;42;1;3;3;2;1;"45326";1
"548721";"Essen";10;8;10;10;10;10;8;3;4;6;8;6;5;7;8;7;8;7;8;6;350;700;800;50;150;30;2;9;7;6;2;9;6;8;4;10;9;6;5;3;3;8;7;7;6;7;6;4;3;5;4;5;9;3;7;10;6;6;2;8;0;0;3;6;1;4;5;6;8;7;7;10;7;6;1;3;2;0;10;0;4;10;7;9;8;4;1;0;0;2;4;3;7;6;7;7;7;7;5;6;6;3;6;3;6;4;6;5;6;7;5;4;6;2;4;2;3;5;6;7;72;1;5;1;2;2;"45879";NA
"553003";"Essen";8;7;8;9;8;7;6;9;5;7;7;10;5;3;5;8;7;7;5;5;100;5;150;50;20;50;4;5;7;6;4;7;8;9;5;8;7;7;7;6;4;7;8;8;8;8;8;6;8;8;9;9;6;9;8;9;9;9;3;3;1;3;7;7;7;1;3;8;8;10;10;9;7;5;6;8;9;2;6;4;4;10;10;9;10;3;5;0;0;5;7;3;5;3;2;2;1;3;2;5;6;6;7;2;3;5;1;4;3;5;1;1;1;2;3;5;1;5;1;6;67;1;3;1;2;2;"40822";1
"554229";"Essen";10;10;10;10;8;10;10;7;10;8;5;3;4;1;7;9;7;7;8;10;35;100;100;100;20;200;5;2;4;6;0;0;8;4;0;2;0;2;0;8;9;6;5;3;5;3;5;6;3;5;2;5;5;0;6;0;0;7;10;6;0;2;0;3;0;10;10;6;8;9;5;5;6;7;3;5;3;5;5;0;7;0;0;8;10;0;0;0;0;0;0;3;7;6;1;1;4;6;5;5;4;6;7;5;3;5;3;2;2;6;2;3;2;5;1;1;2;3;2;3;16;1;1;5;NA;1;"45143";NA
