"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"543589";"Frankfurt a. M.";8;9;7;9;9;10;6;6;6;5;5;8;6;8;7;8;8;6;6;5;800;250;1500;100;300;100;0;5;5;8;5;6;8;8;8;8;6;5;5;8;5;8;8;8;6;8;8;5;8;8;5;8;5;8;5;8;8;8;0;2;0;5;0;5;0;5;0;8;8;8;0;5;2;0;2;5;2;2;5;0;2;8;5;3;10;0;2;0;0;8;0;3;7;3;3;3;2;7;4;7;7;5;5;2;4;3;4;4;4;6;2;2;5;2;2;3;4;5;4;5;54;1;3;1;3;2;"63110";1
"543152";"Frankfurt a. M.";10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;100;400;1000;50;0;0;7;9;8;10;10;10;10;10;2;10;10;10;10;2;2;1;3;10;10;10;10;10;10;10;10;10;10;9;10;3;9;10;5;10;0;8;10;10;10;9;0;7;7;8;10;10;7;10;6;8;7;8;8;9;10;8;10;8;10;0;0;0;0;0;0;3;1;1;1;1;1;2;6;5;7;7;1;1;2;7;1;3;1;7;1;1;1;2;2;1;3;6;1;7;48;1;3;1;2;1;"63450";1
"551442";"Frankfurt a. M.";5;6;7;7;7;10;8;6;5;9;7;7;5;8;0;1;0;1;0;2;50;100;850;60;20;20;1;2;1;3;6;4;5;5;5;5;4;6;5;4;2;3;5;6;4;7;8;9;5;6;9;8;7;9;8;4;6;6;4;4;5;4;5;6;5;8;6;7;8;9;8;4;5;8;9;3;1;5;0;1;2;4;5;6;1;5;6;4;5;4;0;3;5;4;5;4;6;4;5;2;4;5;7;5;4;5;4;7;1;2;3;5;6;6;2;5;4;5;4;7;67;1;5;5;2;2;"61352";NA
"551442";"Frankfurt a. M.";8;6;7;8;7;8;10;10;10;10;7;8;9;5;7;8;7;8;8;8;0;300;1200;100;50;50;9;8;5;5;5;7;8;8;8;7;5;6;5;8;7;9;4;5;10;7;5;8;10;6;8;7;8;9;10;1;10;10;6;5;2;5;4;5;6;2;1;4;5;5;4;7;8;7;8;7;5;6;4;2;5;4;6;6;10;10;10;7;8;9;10;3;5;6;5;4;7;7;7;5;4;5;3;7;7;7;7;5;6;4;5;2;5;4;7;4;7;4;5;7;72;2;5;5;3;2;"61352";NA
"553720";"Frankfurt a. M.";6;7;8;7;8;7;9;9;7;7;7;10;7;9;6;6;6;7;6;7;450;1000;900;100;400;85;7;3;1;1;4;1;6;8;6;7;6;6;2;5;0;6;7;6;6;7;7;4;6;2;7;4;6;6;6;6;4;7;5;8;0;4;2;1;1;3;0;3;2;3;0;5;3;0;1;2;1;2;5;0;1;7;0;2;8;2;1;0;0;0;0;3;5;2;6;5;2;4;1;6;5;5;4;1;2;1;5;3;3;3;1;2;1;5;4;3;3;5;3;5;53;1;3;3;2;4;"64572";1
"553977";"Frankfurt a. M.";10;10;10;10;10;10;9;3;7;6;8;10;6;10;7;7;6;5;8;5;500;300;800;50;100;50;2;5;5;8;5;5;8;10;3;5;6;8;5;2;3;7;8;7;6;7;8;7;5;6;4;7;8;7;9;6;6;7;8;10;1;7;2;4;2;4;1;6;7;9;7;8;8;7;3;9;7;8;5;2;9;3;4;5;9;0;4;0;0;9;0;3;4;3;5;6;1;4;5;5;5;7;7;2;2;4;3;3;5;5;2;3;2;3;2;2;3;4;4;6;52;1;3;4;2;1;"60316";1
"550848";"Frankfurt a. M.";8;10;8;6;6;10;6;10;8;10;10;10;6;10;5;5;5;5;5;5;100;300;150;70;100;30;0;5;5;5;5;7;10;10;3;5;8;8;5;0;0;10;10;5;5;5;10;7;5;10;5;10;8;0;5;10;10;10;0;1;0;4;5;9;1;4;3;5;8;5;5;4;4;5;0;4;5;8;8;0;5;8;5;5;10;2;4;0;3;0;0;3;7;2;1;1;1;3;4;7;7;4;4;1;4;4;6;4;4;4;1;1;1;1;4;2;4;4;6;7;49;2;4;1;1;4;"96279";NA
"553193";"Frankfurt a. M.";10;8;10;9;6;4;4;8;9;7;8;10;4;4;6;8;5;5;6;8;150;150;0;50;50;50;6;7;6;4;5;8;8;7;5;7;7;6;7;6;4;7;7;8;8;7;7;6;7;7;6;7;8;6;7;8;8;7;8;2;1;3;3;2;1;5;3;6;5;5;4;6;7;4;2;6;1;3;4;1;4;8;8;4;10;2;3;0;1;3;4;3;6;4;4;4;2;3;3;3;2;5;5;3;3;1;1;2;2;6;3;3;2;2;3;2;2;5;6;6;25;1;2;2;1;3;"55252";NA
"550478";"Frankfurt a. M.";10;10;10;10;10;10;10;9;10;9;10;10;8;10;10;9;10;8;10;10;30;200;600;100;100;50;10;5;9;8;5;6;10;10;10;10;10;10;10;10;10;8;6;10;9;10;10;10;10;9;10;8;10;9;10;10;10;10;8;7;0;10;4;5;0;8;10;7;6;10;8;9;10;8;5;2;8;0;10;8;8;10;10;10;10;8;3;0;0;0;8;3;7;7;7;7;1;3;1;5;7;7;7;4;6;4;3;5;7;7;3;5;4;4;2;2;5;2;6;3;19;2;2;3;1;2;"65428";NA
"553196";"Frankfurt a. M.";7;8;8;10;10;10;9;10;10;10;10;10;7;10;8;8;7;8;7;5;70;300;250;80;520;40;7;8;6;6;6;5;3;6;5;5;5;5;6;6;5;8;9;8;9;9;9;7;7;8;8;7;9;5;7;9;10;10;3;4;1;1;4;6;3;7;5;8;8;8;8;7;6;3;5;6;1;0;8;0;3;9;10;8;9;2;2;0;0;2;0;3;3;3;4;4;1;2;6;6;6;6;6;3;3;4;2;1;1;6;1;3;2;5;3;2;2;1;6;6;68;2;5;3;2;1;"64295";NA
