"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"539742";"Hamburg";8;8;9;10;8;7;7;9;9;10;8;10;8;10;7;9;8;7;7;10;200;300;190;60;250;20;7;8;8;6;8;5;9;9;7;8;7;8;8;8;2;9;10;7;5;9;9;8;8;8;6;7;10;7;8;9;9;9;8;9;0;8;3;2;2;3;0;4;7;5;5;8;4;4;2;6;2;3;8;1;6;8;7;9;8;3;4;3;1;9;7;3;4;3;4;2;1;1;3;7;5;4;3;1;1;3;6;3;6;5;2;1;2;6;6;2;2;6;6;6;53;1;3;1;NA;4;"25492";3
"524608";"Hamburg";8;8;5;5;3;2;2;8;5;10;10;10;3;3;3;5;2;8;6;8;160;200;600;100;150;80;3;2;2;5;1;2;10;10;5;8;2;2;2;2;2;8;8;5;6;7;9;10;6;10;8;7;8;5;10;10;8;8;10;10;0;8;3;3;3;3;0;5;4;10;10;9;9;5;1;7;0;2;5;2;8;10;0;9;7;0;0;0;0;0;0;3;6;5;5;6;1;3;2;5;3;3;5;4;5;4;2;2;5;7;4;1;3;4;5;3;2;6;6;7;22;1;3;2;3;1;"20253";1
"548018";"Hamburg";10;10;10;10;10;10;8;6;5;8;8;10;10;10;4;9;8;8;5;3;150;275;750;70;50;100;3;8;6;8;7;4;10;10;10;10;9;9;8;9;7;10;10;8;8;8;10;10;10;8;7;10;10;8;10;10;10;10;2;4;7;7;2;8;0;3;0;5;3;10;10;8;6;5;6;9;0;4;9;0;6;8;9;9;8;2;4;0;0;4;3;3;7;6;5;6;4;5;2;7;6;5;7;6;6;6;5;6;2;6;5;3;5;6;6;6;5;6;6;6;30;1;3;3;3;1;"22301";1
"548032";"Hamburg";5;8;8;10;8;8;5;10;3;5;5;10;3;8;3;5;2;6;3;2;350;700;1100;100;100;50;0;4;3;4;3;5;5;8;0;5;3;3;0;3;0;7;8;8;6;8;8;8;8;10;5;8;10;8;8;8;8;8;0;5;0;3;0;0;0;5;0;5;5;8;5;8;5;8;5;8;3;8;10;3;8;8;8;5;10;0;2;0;0;3;0;3;4;1;2;1;2;4;2;5;6;5;6;2;2;4;5;3;2;6;3;1;4;5;1;2;2;6;5;4;55;1;3;1;2;1;"22179";1
"547118";"Hamburg";10;10;10;10;10;10;10;10;10;10;10;10;10;10;5;10;10;5;10;5;200;300;300;50;150;50;5;5;5;5;5;5;2;5;0;2;8;0;5;8;0;5;5;10;10;10;10;5;5;10;8;10;10;5;10;10;10;10;2;5;0;2;8;0;5;8;0;5;5;10;10;10;10;5;5;10;8;10;10;5;10;10;10;10;10;5;5;5;0;5;0;3;6;6;4;6;1;4;4;6;7;7;7;4;4;6;2;6;2;7;3;5;4;1;2;1;2;6;2;4;58;1;3;2;2;2;"21035";1
"550335";"Hamburg";10;10;10;10;10;10;10;10;10;10;10;10;5;10;10;10;10;10;10;10;100;250;700;100;100;0;7;5;6;7;7;7;8;10;5;10;10;10;10;10;5;10;10;8;8;8;8;8;8;10;9;9;9;8;9;8;9;10;10;10;3;10;10;10;8;10;0;5;5;8;3;8;7;8;3;8;8;6;9;7;8;6;7;7;10;10;10;0;10;7;8;2;7;6;1;2;1;5;2;7;6;7;6;7;7;7;1;1;4;6;1;2;3;2;2;2;2;4;4;5;28;2;2;3;1;1;"20255";1
"549283";"Hamburg";8;1;8;6;8;8;6;0;0;0;4;7;0;9;9;9;4;4;6;0;150;300;1600;50;100;5;0;4;4;8;4;10;8;10;8;8;3;7;4;10;2;10;5;6;6;10;8;5;4;6;6;10;4;2;3;8;3;3;0;2;0;0;1;10;0;10;0;5;0;5;2;10;6;5;0;4;0;5;2;3;0;6;0;3;10;0;0;0;7;0;0;3;7;7;4;5;1;7;3;6;5;5;6;1;2;3;1;4;2;2;1;1;1;4;7;7;6;1;2;2;31;2;3;1;2;1;"21031";1
"531073";"Hamburg";10;10;10;10;10;10;5;10;4;5;8;10;5;5;5;8;5;8;3;5;130;350;300;70;200;20;7;6;7;6;7;7;10;10;5;10;10;7;2;10;5;10;10;10;10;10;10;10;10;10;10;10;7;8;2;10;10;10;10;10;5;10;5;0;0;10;0;10;10;10;5;8;7;6;5;3;8;2;2;1;1;10;7;7;10;0;0;0;0;2;0;3;3;3;1;1;1;2;1;5;2;7;7;1;3;4;1;1;1;2;1;1;1;5;3;2;2;3;5;2;53;2;3;3;1;4;"25497";1
"550844";"Hamburg";10;7;10;10;10;5;6;10;9;5;5;10;6;3;0;10;4;10;10;8;50;250;1000;50;50;10;0;5;4;6;10;6;5;10;0;5;7;7;6;7;6;10;10;5;0;10;10;10;5;10;7;5;8;4;5;10;6;10;10;0;0;5;7;10;8;10;0;10;10;8;0;7;10;10;0;10;0;0;0;0;4;10;0;9;10;7;7;0;6;0;10;3;4;7;1;3;1;3;7;5;7;7;7;5;7;4;1;7;7;5;4;4;1;1;1;1;6;6;1;5;52;2;3;1;1;2;"30453";1
"545986";"Hamburg";5;5;8;5;5;8;10;0;0;0;0;0;0;0;2;4;4;4;4;4;500;600;750;150;500;200;0;0;0;0;0;0;8;8;5;5;5;5;3;6;5;8;8;8;8;8;8;8;8;8;7;7;7;7;7;8;8;8;0;0;0;0;0;4;3;6;0;8;8;3;0;0;0;2;3;8;0;0;5;0;0;0;0;0;8;3;2;2;0;0;0;3;6;6;7;7;1;6;3;6;5;3;6;4;6;5;3;3;3;6;5;3;3;5;6;6;3;5;2;4;34;1;3;3;3;2;"25813";2
"549131";"Hamburg";9;9;9;9;9;9;9;9;9;9;9;9;9;9;5;7;9;7;7;7;150;300;100;100;200;50;2;8;8;8;8;8;8;8;6;6;1;2;8;2;3;8;8;2;2;5;5;8;8;8;8;4;8;8;6;8;8;8;8;8;6;6;1;2;8;2;3;8;8;2;2;5;5;8;8;8;8;4;8;8;6;8;8;8;8;8;8;7;8;8;8;3;6;5;5;3;5;5;4;5;4;5;4;5;4;3;3;3;5;3;3;3;5;3;3;3;3;3;3;3;55;1;3;1;3;1;"22089";1
"538556";"Hamburg";10;6;8;8;9;9;5;8;6;6;8;6;6;9;5;10;7;7;8;7;200;300;350;200;300;50;6;4;7;5;0;2;7;9;6;8;8;8;3;5;5;7;7;5;6;6;8;8;6;6;7;8;7;7;5;6;6;9;2;5;5;3;4;4;3;5;7;8;5;0;0;0;0;0;4;8;2;0;4;3;0;7;7;7;6;0;5;0;0;0;0;3;5;5;3;3;2;3;2;7;7;4;6;3;5;6;6;7;7;7;2;5;3;4;3;2;3;4;3;6;56;1;3;3;3;1;"44809";2
"520393";"Hamburg";10;9;10;9;10;10;9;10;8;10;9;10;8;10;0;4;4;6;5;0;150;150;80;50;20;5;6;6;4;7;8;0;7;10;3;6;7;7;8;9;0;9;8;8;5;8;8;9;7;8;9;10;8;8;8;10;7;10;7;6;0;7;8;7;4;9;0;4;3;9;8;9;8;0;6;4;7;5;3;1;5;3;8;6;10;6;7;4;2;3;5;1;6;5;6;6;1;4;3;3;4;7;6;3;4;3;6;6;6;2;2;2;2;5;5;4;3;2;2;3;36;2;3;3;2;1;"22525";3
"547730";"Hamburg";10;10;10;10;10;10;10;10;10;5;8;10;2;10;5;5;2;5;5;3;150;250;900;100;100;20;5;5;2;5;2;8;10;10;5;10;10;10;7;10;3;10;10;10;10;10;10;10;7;10;10;10;10;10;10;10;10;10;3;5;0;3;6;6;2;7;0;7;7;7;7;7;7;2;3;7;2;2;2;0;7;10;10;10;10;0;2;0;0;2;0;3;6;4;1;1;1;4;4;7;5;7;7;1;4;4;2;2;2;3;2;2;1;1;4;2;4;4;2;5;52;2;3;1;2;1;"50969";1
