"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"546783";"Hannover";8;5;5;5;3;8;3;0;0;0;0;0;0;0;1;8;3;5;0;0;300;300;500;100;500;100;0;0;0;0;0;0;0;3;0;0;0;0;0;8;0;8;8;5;5;8;3;3;0;8;10;0;5;0;0;5;0;0;0;1;0;0;0;0;0;8;0;8;8;5;5;8;3;3;0;8;10;0;5;0;0;5;0;0;8;0;0;0;0;5;0;3;3;2;6;7;2;4;1;6;6;5;3;2;2;2;5;5;3;6;5;6;2;2;2;1;1;6;5;3;70;1;3;4;3;4;"31020";2
"545880";"Hannover";2;2;2;2;2;0;0;2;0;0;0;0;0;0;0;0;8;0;0;4;30;200;100;0;0;70;7;4;3;2;7;1;10;10;0;10;0;0;0;0;0;7;7;10;0;10;10;10;2;0;5;5;10;0;0;10;10;10;10;10;0;10;0;7;0;10;0;7;7;10;0;10;10;10;0;0;5;5;10;0;0;10;10;10;1;7;0;0;0;0;0;3;3;4;4;4;4;7;5;7;7;3;3;1;1;2;6;6;2;2;1;2;5;4;4;4;2;3;3;4;70;1;5;1;1;2;"30179";NA
"546047";"Hannover";10;7;7;6;6;9;8;6;6;6;6;7;6;7;8;7;8;6;6;7;300;200;600;60;300;200;3;3;4;6;5;2;8;6;5;6;1;0;1;1;1;7;7;4;1;0;2;5;1;6;2;8;2;0;2;7;4;2;2;7;0;3;0;10;0;3;0;4;0;4;0;0;3;1;1;9;2;10;3;0;8;7;1;8;3;1;0;0;0;2;0;3;5;4;1;3;1;4;6;5;5;5;6;1;2;3;3;4;6;5;5;5;3;4;2;2;5;4;3;5;28;1;3;3;1;3;"32469";1
"549962";"Hannover";8;10;9;10;10;10;6;3;0;5;2;10;0;7;0;0;7;5;8;5;200;250;600;30;100;80;0;0;5;7;0;5;5;7;0;5;3;1;5;7;0;8;8;8;5;8;10;5;0;7;7;8;8;5;8;10;7;5;3;8;0;5;5;3;3;7;0;8;8;10;5;10;10;3;0;10;7;10;8;5;8;10;10;10;10;3;5;0;0;0;0;3;7;4;4;4;5;7;4;3;5;7;7;1;3;5;1;1;3;7;6;6;1;1;1;1;1;6;4;7;68;1;5;2;2;4;"31698";NA
"545903";"Hannover";7;6;9;7;6;8;5;5;5;5;5;5;5;5;3;7;6;6;7;8;150;400;600;100;200;50;5;7;7;8;6;9;8;10;5;7;5;5;5;7;5;8;7;7;7;7;9;5;8;8;9;9;8;8;7;10;10;9;1;4;0;4;0;0;0;9;0;6;5;7;9;7;8;5;8;7;1;1;6;1;4;10;10;9;9;0;0;0;0;1;0;3;5;5;2;2;1;5;4;5;2;4;5;2;3;4;4;3;3;3;2;2;3;5;5;6;5;6;4;5;31;2;3;2;1;2;"30823";1
"553900";"Hannover";9;9;8;8;9;9;9;7;6;6;5;9;6;10;9;10;6;8;5;5;100;250;300;50;50;50;3;3;3;8;5;3;10;9;7;8;8;6;5;8;5;8;8;8;8;9;8;8;6;8;9;10;10;8;9;10;9;8;8;2;0;1;3;2;1;8;0;7;6;8;6;8;8;2;2;6;8;9;10;6;7;9;8;6;9;5;3;0;0;0;0;3;3;1;2;3;6;6;3;7;6;5;2;1;1;1;2;2;4;3;1;1;1;1;1;1;2;2;3;6;66;1;5;1;1;1;"30419";NA
"545903";"Hannover";5;1;7;7;5;9;7;7;6;9;7;10;7;7;9;10;9;10;8;8;0;30;0;60;0;40;8;6;10;9;9;9;5;3;1;3;5;5;5;8;6;5;4;2;2;8;8;8;6;6;3;3;6;4;3;8;4;3;8;3;0;3;7;7;7;9;9;6;6;2;2;8;8;9;6;7;4;4;7;5;4;9;5;4;9;9;7;1;0;0;0;3;3;3;3;3;3;3;3;4;2;3;5;6;6;5;3;3;3;3;3;4;3;3;3;3;4;2;2;2;16;1;1;5;1;1;"30177";NA
"553869";"Hannover";7;6;7;9;5;8;7;5;8;7;5;9;4;0;5;4;7;5;8;3;100;100;200;20;100;20;2;3;4;2;3;4;7;8;7;8;7;5;10;10;8;10;9;10;9;8;7;8;7;7;5;4;8;7;6;8;7;6;7;7;2;3;NA;6;7;8;8;7;10;9;9;6;9;8;7;5;5;3;1;6;3;5;5;4;10;6;6;0;0;0;7;3;7;5;4;6;7;7;6;4;3;6;7;NA;1;3;5;6;7;5;4;4;6;7;7;5;5;4;5;6;70;1;5;2;1;4;"29303";NA
"549415";"Hannover";10;8;9;10;8;9;7;9;7;7;9;10;5;8;9;7;7;8;8;9;350;300;500;150;100;50;6;7;7;8;8;7;10;10;7;8;8;8;5;8;4;9;8;8;6;9;9;9;8;10;8;7;8;7;7;10;10;8;9;7;0;7;2;2;1;8;3;8;7;6;0;5;7;4;3;9;6;8;9;2;7;9;6;5;10;1;1;3;0;2;8;3;6;5;6;6;7;7;6;6;5;7;7;5;7;7;1;2;6;5;5;4;5;1;3;2;6;6;1;4;21;1;2;5;1;1;"30171";NA
"551909";"Hannover";10;8;7;10;8;5;4;9;2;0;3;10;0;2;2;1;5;4;3;7;100;400;1200;300;100;10;1;0;5;4;3;8;10;10;5;8;4;4;6;4;2;3;4;8;4;5;5;4;4;7;2;3;6;1;5;8;5;5;10;10;0;10;0;0;1;4;0;1;1;5;1;5;5;1;0;8;0;1;5;0;4;10;4;2;7;0;0;0;0;0;0;3;6;6;3;2;5;6;5;6;7;6;7;4;7;1;3;2;2;7;6;6;1;3;2;1;3;7;2;6;69;2;5;1;3;1;"30559";NA
"553776";"Hannover";9;9;7;10;7;10;7;10;9;10;9;10;5;2;9;9;8;9;5;2;50;200;300;20;40;10;9;7;8;10;9;9;10;10;5;8;9;7;9;7;4;8;7;10;8;10;10;8;7;9;4;9;7;4;8;10;7;8;3;3;0;5;5;3;3;6;0;8;4;10;6;10;10;3;3;6;0;7;0;0;10;10;10;3;9;9;7;0;3;0;0;3;2;1;1;2;5;6;7;7;7;6;3;2;2;2;5;4;3;6;4;4;5;3;2;2;4;7;6;7;73;2;5;1;2;4;"31177";NA
"543344";"Hannover";6;9;10;8;8;8;5;10;10;10;10;10;10;10;6;8;6;5;9;5;100;300;200;200;300;100;10;5;5;2;10;5;8;10;8;10;8;10;5;10;10;10;10;8;8;8;8;0;8;10;10;0;5;4;8;10;1;9;4;6;0;0;5;5;5;8;8;10;10;8;7;9;8;0;7;8;6;0;6;4;5;10;10;9;9;0;9;9;0;0;6;3;7;5;2;2;1;7;2;7;7;5;7;3;5;7;3;2;6;5;2;2;5;1;4;6;5;7;2;5;38;2;3;3;1;3;"31157";1
"547875";"Hannover";10;9;8;9;9;7;9;10;7;7;8;10;6;7;8;10;8;7;8;8;15;12;0;10;30;15;9;10;8;8;8;9;8;7;7;8;7;9;6;5;5;9;8;8;6;9;9;8;9;8;7;9;10;8;8;10;8;9;10;10;0;9;8;9;2;7;0;8;8;5;3;6;7;7;6;8;7;8;9;8;9;7;8;9;8;0;7;4;0;7;2;3;7;6;5;5;4;7;4;5;3;7;7;3;3;1;5;3;5;6;5;3;1;2;2;2;3;5;2;2;18;1;1;2;3;3;"30855";NA
