"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"544903";"Karlsruhe";10;10;10;10;10;10;10;10;10;10;10;10;10;10;0;8;0;0;0;0;90;200;NA;50;0;0;0;0;0;0;0;0;10;10;8;10;5;4;2;10;10;10;10;10;10;10;10;10;10;NA;8;5;10;10;10;10;10;10;8;0;0;0;5;4;0;10;10;10;10;10;10;10;10;10;0;NA;1;8;10;10;5;10;0;5;10;8;2;0;0;0;0;3;5;7;1;1;7;7;7;7;7;7;3;1;3;1;6;6;6;7;4;1;3;1;1;1;5;7;4;7;66;2;5;5;1;2;"73614";NA
"547756";"Karlsruhe";5;7;10;10;8;10;7;7;9;10;7;10;6;10;10;10;8;10;10;10;200;80;500;10;40;30;7;10;10;10;10;8;6;10;10;7;7;10;6;3;4;8;7;8;7;9;10;5;8;8;9;10;5;8;3;10;10;8;5;8;0;8;1;9;3;6;0;10;7;10;1;8;9;8;1;7;10;6;4;7;2;10;9;7;10;8;7;0;0;1;5;1;4;3;1;1;1;7;5;4;4;4;5;1;1;4;3;1;2;1;1;1;1;2;1;3;1;6;4;7;29;1;3;2;1;3;"76320";1
"550986";"Karlsruhe";9;9;10;7;10;9;10;7;10;8;6;10;8;8;10;7;8;10;7;7;5;200;340;8;45;40;10;7;7;6;7;5;7;8;2;7;8;7;4;7;5;7;4;6;4;3;8;2;6;10;10;7;8;3;8;8;10;9;10;10;10;10;10;8;6;7;7;3;4;9;3;10;5;2;2;8;6;8;8;1;7;9;9;9;10;2;9;0;0;3;0;1;6;3;4;4;1;2;2;7;4;7;6;2;5;7;2;6;5;6;3;3;2;2;5;1;1;5;4;6;19;1;3;2;1;1;"76137";1
"521174";"Karlsruhe";10;9;9;8;9;10;8;8;8;7;7;9;5;8;6;8;7;8;6;5;400;120;200;40;150;40;8;8;8;9;6;6;10;10;7;9;7;7;6;10;6;8;8;8;6;6;9;7;8;9;8;8;10;7;10;8;7;9;3;8;0;8;6;8;4;6;4;5;5;7;6;4;7;3;5;7;2;6;5;0;7;8;5;7;6;4;4;2;2;6;2;3;2;1;2;2;2;3;3;2;3;3;4;1;2;4;5;5;4;3;2;2;1;5;5;2;4;3;3;3;54;1;3;1;2;3;"76593";1
"547756";"Karlsruhe";8;10;10;9;10;10;9;7;7;7;7;10;4;10;7;9;7;7;6;6;150;120;350;50;100;10;6;7;6;7;7;6;8;2;6;9;9;8;9;7;6;9;9;10;10;10;10;7;8;10;8;9;9;6;10;8;9;9;1;0;0;3;5;6;5;6;1;6;6;10;10;10;10;4;4;4;4;5;8;0;6;9;7;7;10;7;5;0;0;2;2;3;4;4;4;7;4;3;5;5;5;5;7;3;4;6;3;3;1;6;3;2;4;3;4;4;4;5;6;7;48;2;3;1;2;2;"76275";1
"537591";"Karlsruhe";10;8;8;10;8;8;8;9;9;9;8;9;8;8;7;9;8;8;9;7;5;8;8;7;7;5;7;9;8;8;9;7;8;8;5;5;5;7;3;5;3;8;8;8;8;8;8;7;5;8;7;9;9;7;7;9;9;8;7;6;7;7;8;7;7;4;5;7;7;9;7;7;8;4;7;9;3;4;7;5;7;5;7;7;8;5;5;0;2;5;5;3;2;2;2;2;4;4;4;6;6;6;6;4;5;4;4;1;4;4;4;4;4;2;4;4;2;7;6;6;60;1;3;1;3;4;"77866";2
"550293";"Karlsruhe";4;8;8;10;10;9;4;5;5;5;6;10;5;8;0;10;5;5;5;3;35;150;450;0;35;0;5;0;3;8;5;8;8;9;8;9;4;4;2;3;2;8;9;7;8;6;6;7;2;8;2;8;9;2;5;7;7;7;10;8;0;10;4;4;0;4;0;8;8;3;5;5;5;7;0;8;2;10;8;0;7;9;9;9;3;7;3;0;0;0;0;3;7;3;3;6;6;7;7;7;5;4;5;1;1;1;7;7;7;5;2;2;2;4;3;3;2;6;4;6;65;1;5;1;1;4;"77836";NA
"544903";"Karlsruhe";7;7;8;10;10;10;10;10;9;10;10;10;3;10;6;10;1;10;10;3;40;10;0;100;20;10;1;5;3;3;7;4;9;1;0;3;5;9;0;10;0;7;8;10;5;10;10;5;10;10;7;0;10;5;2;8;0;5;9;1;0;3;4;9;0;10;0;1;5;10;6;10;6;5;5;10;5;0;10;5;1;8;0;5;10;0;0;0;1;0;2;3;7;5;2;2;1;5;1;7;6;6;3;7;7;7;1;3;6;7;7;2;6;7;6;2;7;7;7;7;18;1;1;2;1;1;"76187";1
"553475";"Karlsruhe";5;2;1;8;7;5;1;10;3;8;7;10;3;8;0;6;6;8;8;3;450;100;400;50;20;20;2;6;6;6;8;8;10;10;8;8;7;6;7;8;6;8;8;6;5;9;9;5;8;10;7;10;6;5;10;7;6;8;0;7;4;6;8;9;5;6;0;7;7;5;7;10;7;5;7;10;6;10;8;4;8;10;10;8;8;2;1;0;0;0;0;3;7;5;2;2;1;4;1;7;7;5;6;5;6;3;2;2;6;5;2;2;2;2;2;3;6;4;4;6;23;2;2;3;1;4;"76571";3
"544903";"Karlsruhe";10;5;10;10;5;10;10;10;10;6;6;10;9;10;0;5;0;5;1;1;80;300;750;100;20;30;0;5;NA;5;0;0;10;10;10;10;8;8;8;10;10;10;10;10;10;10;10;10;10;8;9;8;8;10;7;8;10;6;0;8;0;0;4;4;0;7;7;7;7;10;10;10;10;10;5;6;9;3;4;10;3;8;6;1;10;2;2;2;0;1;0;3;7;7;2;2;2;7;6;7;7;7;7;5;6;6;1;1;3;6;2;2;2;4;2;2;2;4;3;7;36;2;3;1;1;1;"76187";1
"552525";"Karlsruhe";10;10;10;10;10;10;10;10;10;10;10;10;8;10;5;9;5;4;5;7;70;250;800;100;35;10;4;9;4;2;6;6;10;10;5;10;10;10;2;10;0;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;5;4;0;4;10;10;0;10;0;10;10;10;10;10;10;10;1;6;0;3;7;7;6;10;10;10;10;10;10;0;5;4;8;1;6;4;1;2;3;7;7;7;7;7;7;5;6;6;6;4;7;7;1;1;4;6;2;5;4;4;4;7;40;2;3;1;2;2;"75015";1
"552525";"Karlsruhe";8;9;10;10;10;10;7;5;5;5;5;6;4;1;5;8;2;8;10;5;100;500;1000;50;0;100;2;5;5;10;5;8;10;10;10;10;10;10;5;5;8;10;10;10;10;10;10;8;10;10;10;10;10;10;10;10;10;10;5;5;0;5;5;8;4;0;3;8;10;10;8;10;8;8;8;5;10;10;8;8;8;9;10;10;10;8;8;0;0;0;8;3;5;1;1;2;1;2;2;2;5;7;6;2;4;6;1;5;1;5;1;2;1;1;6;1;1;1;6;1;38;1;3;1;2;4;"74336";1
"542493";"Karlsruhe";7;8;0;9;6;1;3;3;0;10;4;10;1;0;4;2;6;1;7;2;20;450;200;80;120;40;4;7;9;5;10;3;6;10;1;10;7;10;4;7;3;8;9;8;9;7;9;7;8;5;9;6;8;2;5;8;10;6;8;5;0;8;0;5;6;9;5;7;10;4;2;5;8;2;7;4;2;7;1;0;4;10;8;4;0;0;0;0;0;3;1;3;7;5;2;1;5;7;2;5;6;7;5;3;5;3;6;5;6;7;3;3;5;2;5;1;3;7;2;7;68;1;5;2;2;4;"76532";NA
"550986";"Karlsruhe";10;9;9;9;9;8;9;9;9;9;8;10;8;9;4;10;8;10;5;7;70;100;700;20;400;50;3;8;7;10;8;7;9;10;6;10;8;7;8;7;7;10;9;9;7;9;8;9;9;10;8;9;8;7;10;9;7;10;10;7;0;10;6;7;4;5;6;7;7;8;9;9;7;8;9;7;9;4;7;0;9;6;1;8;10;0;7;6;0;6;4;2;6;5;3;4;1;1;2;1;1;4;6;1;1;2;1;1;3;3;1;3;1;6;7;6;5;4;6;6;26;1;3;3;2;1;"76137";1
"537591";"Karlsruhe";8;7;10;8;8;7;8;7;5;5;5;9;5;5;8;10;8;7;7;6;200;500;800;100;100;50;3;5;5;8;8;7;5;5;2;5;6;5;1;5;4;7;7;3;2;2;3;5;4;5;7;8;4;1;3;9;7;4;0;5;0;0;5;2;0;4;3;7;7;3;2;2;3;5;6;5;7;8;3;0;2;9;7;5;10;9;6;0;0;5;0;3;6;4;2;2;1;3;3;6;3;6;6;2;3;3;1;2;4;6;4;5;4;1;2;2;1;3;2;6;64;1;3;2;3;4;"77866";1
"536910";"Karlsruhe";5;5;5;8;10;10;10;10;5;5;8;10;0;5;0;10;0;0;5;5;100;150;NA;0;80;50;5;5;10;0;0;0;0;10;0;10;5;0;0;0;0;5;5;5;5;10;5;5;5;5;5;5;5;5;5;10;5;5;0;10;0;0;5;0;0;0;0;5;5;5;5;0;5;5;5;5;5;5;5;5;5;5;0;0;10;0;0;0;0;5;0;3;4;7;1;1;1;7;7;7;7;7;7;7;7;1;1;1;1;7;1;1;1;1;7;7;3;4;5;1;61;2;3;1;NA;1;"76199";1
