"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"551083";"Köln";7;8;6;3;6;9;3;8;1;3;3;8;1;8;2;3;3;3;3;2;100;150;650;50;200;25;1;0;0;2;0;3;8;6;4;6;2;2;2;0;0;6;6;4;2;1;5;0;2;4;4;5;4;2;3;4;5;6;7;2;0;0;0;0;0;8;0;1;2;1;0;4;1;0;0;2;0;0;1;0;0;8;2;2;3;0;0;0;0;2;0;3;6;2;1;1;1;3;4;5;7;2;2;2;4;3;3;2;3;4;2;3;4;2;2;2;1;2;2;3;31;2;3;1;3;3;"53902";1
"547605";"Köln";10;9;9;9;9;8;8;8;9;9;10;9;8;9;4;5;7;8;7;8;200;350;400;100;100;10;3;4;5;7;3;7;9;8;9;9;9;9;6;6;6;6;5;8;8;7;6;7;8;7;8;8;8;8;8;9;10;9;6;7;8;7;8;6;7;6;9;9;8;8;7;7;9;9;7;7;10;8;9;8;8;10;10;10;9;6;7;0;1;3;2;3;6;5;4;3;4;1;2;6;5;7;6;4;3;6;2;3;4;1;3;7;6;3;4;2;4;4;3;2;58;1;3;1;2;1;"50969";1
"551275";"Köln";8;7;7;7;7;8;8;8;6;7;6;8;6;8;8;6;8;7;6;6;150;500;NA;100;200;50;0;2;6;5;4;4;7;7;2;6;5;6;4;4;3;7;7;7;7;6;7;6;6;8;4;8;6;1;8;6;9;8;0;1;0;0;1;1;0;0;0;5;5;3;4;5;4;3;3;3;0;1;1;0;6;5;8;7;6;6;2;2;0;5;0;3;6;4;7;7;2;4;1;5;7;5;7;7;7;6;1;1;1;6;3;5;4;2;1;2;2;2;6;6;61;1;3;2;3;3;"51491";1
"547426";"Köln";10;10;10;10;10;10;8;10;10;10;10;10;8;10;8;10;10;4;5;10;25;800;650;30;120;20;10;10;10;10;10;10;8;10;8;10;6;5;0;10;0;10;10;10;10;10;10;10;10;10;9;10;10;10;10;10;10;10;3;8;3;10;6;0;0;10;0;10;10;10;10;10;10;10;10;10;4;10;10;4;10;10;10;10;10;0;0;0;0;8;0;3;7;1;4;5;1;5;7;7;7;7;7;1;1;1;1;1;1;1;1;1;1;1;5;1;1;6;5;7;70;2;5;5;2;1;"28205";NA
"540630";"Köln";8;9;10;10;8;8;9;8;5;8;5;10;5;5;8;10;7;9;8;5;200;300;1500;100;200;100;3;0;5;8;5;8;8;10;7;8;8;6;6;7;5;8;9;8;7;9;6;8;7;10;10;8;10;6;10;5;5;10;0;8;0;5;6;6;0;8;0;9;9;5;5;10;8;8;8;10;8;10;8;5;8;10;5;8;8;0;5;0;0;0;0;3;6;5;3;3;2;6;3;6;6;5;7;1;2;1;1;2;2;6;3;5;2;2;3;2;5;5;3;6;53;1;3;1;2;2;"48282";1
"546715";"Köln";8;8;9;8;8;8;7;2;4;1;2;5;3;4;2;8;2;5;7;6;100;150;0;100;100;50;2;7;3;4;2;2;8;10;8;10;9;8;8;8;7;9;9;8;8;8;8;8;6;8;7;9;7;7;10;9;9;9;6;3;6;3;4;7;4;8;2;5;6;6;4;4;4;3;2;2;2;3;3;2;3;6;6;6;7;2;3;2;1;3;6;3;5;3;2;1;1;6;5;7;7;4;3;5;6;6;2;2;2;6;4;4;5;6;4;4;3;6;4;5;19;2;2;3;1;1;"50999";1
"546030";"Köln";9;8;10;8;10;10;10;10;5;10;2;10;2;10;2;4;0;4;2;0;120;200;0;100;50;50;2;6;2;2;2;0;7;10;2;10;5;6;2;7;0;10;10;8;8;10;10;2;8;10;5;8;5;2;8;8;10;10;8;3;0;2;0;10;2;10;0;10;10;10;10;10;10;2;2;9;0;0;0;0;8;10;10;10;10;0;0;0;0;2;0;3;5;5;1;3;1;5;3;6;6;7;7;2;5;5;7;7;7;7;3;2;4;2;3;1;6;6;1;6;17;1;1;5;1;3;"53773";1
"540351";"Köln";7;5;7;8;7;8;6;3;3;4;3;5;1;4;8;8;7;7;8;6;120;250;455;80;300;30;4;8;7;7;3;8;10;10;8;10;9;7;8;7;2;8;8;9;6;6;5;7;6;8;8;9;4;3;6;8;7;8;8;8;0;5;10;10;0;7;0;7;7;6;6;6;4;6;5;7;3;1;3;0;3;8;1;5;10;4;6;2;7;7;6;1;7;5;5;4;1;3;3;5;5;5;3;2;3;4;1;1;1;3;5;4;3;1;2;1;1;6;2;3;32;2;3;3;2;1;"51065";1
"550538";"Köln";6;6;7;7;6;7;5;6;7;8;9;9;8;9;7;8;6;7;8;8;20;40;650;25;20;20;6;7;6;7;6;7;7;7;8;7;6;7;7;8;8;7;6;7;7;8;5;6;7;6;5;6;7;8;7;8;8;8;7;6;7;7;6;5;6;7;6;7;6;5;5;7;5;6;5;6;5;6;7;7;7;8;8;8;7;6;5;6;7;8;7;3;5;6;5;4;5;5;6;5;6;5;4;2;3;2;1;2;3;2;2;1;1;3;2;1;5;5;5;6;73;2;5;5;1;2;"50259";NA
"550260";"Köln";8;8;8;10;8;8;8;10;10;10;10;10;8;10;0;3;0;2;0;0;20;300;500;50;0;0;2;5;3;5;0;0;0;8;0;1;5;6;2;8;0;8;9;8;8;8;8;8;8;8;8;10;8;8;10;9;10;10;0;8;0;2;2;3;5;9;0;9;9;10;10;10;10;10;9;10;8;10;9;9;10;10;10;10;10;5;5;5;5;3;0;3;7;6;5;4;3;7;5;6;7;7;5;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;5;5;70;2;5;1;1;2;"50389";NA
