"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"548097";"München";8;8;10;8;10;5;5;10;8;7;9;10;8;9;7;9;8;8;7;7;100;200;250;200;100;20;3;6;6;6;6;6;8;9;5;5;8;6;4;8;3;8;8;8;8;8;7;5;8;8;7;8;10;5;6;8;7;8;8;9;0;6;6;6;3;9;0;8;8;8;8;8;7;1;3;7;6;8;10;2;6;8;7;8;10;0;3;0;0;0;0;3;7;6;3;4;6;5;4;7;6;7;6;2;3;5;4;3;4;6;3;2;2;2;3;3;4;5;6;7;79;2;5;3;1;3;"82152";NA
"541141";"München";9;4;8;8;9;8;8;10;8;5;9;9;4;5;5;7;8;3;3;4;25;120;500;100;60;10;5;8;4;5;1;2;7;8;6;8;9;8;9;5;9;9;7;4;7;7;9;9;9;8;8;8;9;8;8;9;7;9;9;9;0;9;8;0;5;6;9;6;2;1;9;10;8;5;1;7;1;2;9;7;5;10;0;8;10;0;8;3;1;6;8;1;6;5;3;3;4;6;4;7;6;6;7;5;6;4;1;3;3;6;4;5;3;7;6;5;7;6;3;6;24;2;6;3;1;3;"82515";NA
"554039";"München";10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;7;8;7;8;80;150;900;100;100;125;0;5;3;10;0;0;3;5;3;4;10;10;10;5;10;10;10;10;10;10;10;0;10;10;5;10;10;7;7;10;10;10;0;0;0;0;5;10;5;10;10;6;9;0;10;10;10;0;0;10;0;0;10;0;5;3;10;10;10;7;8;0;0;2;0;3;7;5;1;2;1;7;1;7;7;7;7;1;7;7;1;1;1;7;3;2;1;1;1;2;7;7;3;7;66;2;5;1;2;1;"80636";NA
"550203";"München";10;7;10;9;10;9;8;10;8;9;10;10;6;7;8;7;6;6;8;10;50;150;400;100;100;0;8;5;6;5;5;10;8;9;7;9;10;9;7;8;7;10;9;8;7;9;10;9;9;9;7;10;8;7;9;10;9;9;7;8;5;6;7;8;5;7;4;8;6;6;5;8;8;7;8;7;6;8;9;6;9;10;10;9;10;2;2;0;0;1;3;3;4;4;1;1;5;7;2;6;7;7;4;3;5;6;3;3;2;6;2;1;3;4;5;4;5;4;2;5;57;2;3;1;1;1;"80999";1
"552474";"München";10;6;10;7;8;7;6;7;3;5;6;9;0;1;5;7;8;8;5;5;340;200;290;150;50;20;1;8;6;6;7;3;10;10;7;8;7;7;7;5;3;7;7;6;6;7;7;8;5;5;6;5;5;6;8;10;5;10;0;1;0;0;8;8;6;7;0;7;6;8;9;8;6;0;4;4;3;0;0;0;5;9;0;8;10;0;0;0;0;0;0;3;2;1;1;1;1;3;5;3;5;7;4;4;5;7;2;4;1;3;1;1;5;7;7;6;6;4;5;3;23;2;3;3;2;2;"82515";1
"548079";"München";9;7;10;5;8;4;5;5;8;2;5;7;5;9;4;3;2;2;9;8;50;350;1000;50;80;100;4;4;3;8;3;3;5;10;2;8;3;5;4;4;4;8;9;6;6;8;8;9;6;10;7;10;10;10;9;8;8;10;10;10;3;5;5;5;2;9;9;10;8;8;8;7;2;2;10;10;5;5;5;8;7;8;8;8;7;3;2;0;3;0;0;3;3;4;3;2;5;7;5;4;4;5;5;2;5;3;5;3;3;3;1;2;2;1;2;1;3;5;4;4;47;1;3;3;2;1;"81675";1
"547221";"München";10;10;10;10;9;8;8;10;10;2;8;10;5;9;5;10;8;5;9;2;300;200;600;50;300;50;5;0;1;2;0;10;9;10;8;10;10;0;8;0;5;0;0;7;0;10;10;10;10;10;10;10;10;0;2;10;10;0;8;7;2;3;10;0;8;10;0;8;8;2;0;8;8;2;3;5;6;0;5;1;5;9;5;0;5;9;5;5;0;0;5;3;7;6;1;1;1;7;4;7;6;6;6;6;4;4;2;4;4;5;2;6;3;3;7;7;6;4;2;7;25;2;3;3;2;3;"84539";1
"547286";"München";8;10;6;8;6;10;8;9;4;3;8;10;7;10;0;4;3;2;8;3;100;200;400;300;200;50;0;3;4;0;2;0;6;8;9;9;7;8;7;6;7;8;9;8;5;7;8;6;8;6;9;8;8;5;8;5;8;8;2;4;0;0;10;0;0;7;0;5;4;4;0;4;5;3;0;7;0;0;3;0;0;2;0;6;10;4;0;0;5;5;0;1;7;7;6;6;1;7;1;7;7;3;6;6;7;7;1;1;1;7;1;1;2;3;7;6;7;7;6;7;23;2;3;3;2;3;"85386";1
"930101";"München";10;10;10;9;10;10;10;10;8;10;7;10;10;10;10;10;10;7;8;6;0;200;1000;100;250;20;0;2;3;9;1;4;10;8;7;8;5;5;3;7;5;9;8;8;8;8;9;7;10;10;8;8;7;7;6;9;9;9;0;2;0;3;0;0;0;7;0;6;6;5;0;7;4;6;3;8;0;0;5;0;1;10;8;5;9;0;0;0;0;0;0;3;2;1;1;1;1;3;4;4;2;3;5;1;1;2;1;1;3;6;2;2;2;1;1;1;2;3;2;7;57;1;3;1;2;3;"82216";1
"542292";"München";7;7;6;5;5;5;4;6;6;5;4;6;4;1;0;0;0;1;0;0;150;0;0;200;150;150;0;2;2;0;0;2;5;5;4;0;3;4;4;5;0;4;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;0;1;1;0;3;0;0;0;0;3;3;3;0;3;2;0;3;3;0;1;0;0;0;1;5;1;9;1;1;0;0;1;0;3;7;6;7;7;2;5;5;6;4;4;4;7;7;7;4;5;3;7;6;5;7;5;5;3;6;4;7;7;19;1;1;1;1;1;"80797";1
