"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"549303";"Münster";4;5;7;5;6;8;7;6;4;7;6;8;9;3;4;9;6;5;10;7;20;100;300;30;100;0;4;6;5;6;9;5;6;9;4;6;5;6;8;10;2;4;6;6;8;7;9;6;7;6;3;1;2;3;4;7;8;7;8;9;1;3;2;1;6;8;0;2;4;7;6;8;9;5;4;2;5;3;0;5;8;4;4;3;3;2;2;2;4;5;5;1;7;5;1;2;1;6;3;4;5;4;6;2;2;3;2;3;2;4;2;4;1;3;4;1;1;5;2;4;21;1;3;3;1;2;"48167";1
"545845";"Münster";10;10;9;8;10;10;7;10;10;10;10;10;5;4;8;10;10;8;7;6;200;200;1000;200;200;100;8;10;7;5;4;6;10;10;8;10;8;7;6;6;3;10;10;10;3;10;10;8;6;5;4;6;10;6;5;10;10;8;6;8;0;8;7;0;0;6;0;10;10;10;2;10;10;8;4;0;2;5;8;2;2;10;10;6;7;5;5;0;0;4;0;3;5;4;4;4;4;5;4;4;7;5;4;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;58;2;3;1;1;3;"48336";1
"553803";"Münster";10;10;10;9;9;10;9;10;8;10;8;10;7;10;9;10;8;10;9;9;35;250;125;100;150;30;8;10;9;9;10;9;9;10;8;9;9;8;7;8;4;9;10;9;7;8;10;9;8;10;8;10;9;9;8;9;10;10;5;7;0;6;9;5;0;7;0;8;9;5;4;6;7;7;6;10;0;9;8;0;7;9;10;9;9;6;8;0;0;5;0;1;2;2;1;1;6;2;3;6;2;6;7;1;1;2;4;1;2;5;2;3;3;1;2;1;1;5;1;4;67;2;5;3;1;2;"59494";NA
"534352";"Münster";10;10;10;10;10;10;9;10;6;9;0;10;0;5;6;10;0;0;7;7;0;0;0;0;0;0;8;10;0;7;6;0;9;10;10;8;8;8;7;7;5;9;9;7;7;9;9;7;10;9;7;7;6;8;7;10;9;9;7;9;0;0;4;8;2;8;0;7;7;7;4;8;7;0;7;8;NA;2;5;2;3;4;10;0;10;0;0;2;0;5;8;3;7;5;3;3;1;6;3;7;6;7;4;7;6;6;2;2;4;6;4;4;6;5;6;1;5;4;2;4;16;2;1;5;1;2;"48653";1
"548660";"Münster";10;10;10;10;10;10;10;8;8;8;10;10;5;10;6;10;0;10;5;5;50;300;250;20;150;10;10;7;8;8;8;8;10;10;8;10;10;4;4;2;2;10;10;3;3;10;10;6;10;10;10;10;10;5;5;10;10;10;0;10;0;6;5;0;0;10;5;10;10;0;0;10;10;10;10;10;2;10;10;5;2;10;10;10;10;0;4;0;0;0;0;3;6;6;3;3;6;7;5;7;7;7;7;3;7;2;7;4;6;7;4;2;1;1;1;2;3;6;6;7;68;1;5;1;1;1;"48167";NA
"547163";"Münster";10;10;10;10;10;10;10;10;10;10;10;10;10;10;5;5;5;5;5;5;100;120;400;100;10;0;5;5;5;5;5;5;6;6;6;6;3;5;5;5;6;6;4;5;6;5;5;5;5;5;5;5;6;6;6;6;6;6;2;2;6;3;4;4;4;8;0;5;6;5;6;6;6;6;7;8;8;8;5;5;5;6;8;8;10;7;8;9;8;9;10;3;7;7;5;5;7;5;6;5;4;6;5;7;6;6;6;7;6;5;5;5;6;5;5;6;7;7;6;7;63;2;5;1;1;2;"45772";2
"549303";"Münster";7;6;10;9;10;10;10;10;7;3;3;10;3;8;7;8;5;6;5;5;250;50;50;75;100;40;7;4;5;6;6;8;8;9;5;9;8;6;4;7;3;9;7;7;5;8;8;6;7;9;6;8;9;6;5;8;9;10;3;7;0;4;4;4;2;5;0;7;3;5;2;3;2;3;2;6;5;8;5;0;5;6;4;6;6;1;1;0;0;0;0;3;6;6;4;3;2;6;4;6;6;4;6;3;5;4;2;4;2;5;4;4;2;4;4;2;2;5;3;6;19;1;3;1;1;4;"45721";1
"551605";"Münster";8;8;9;9;8;8;7;8;5;5;7;10;4;7;6;9;7;7;3;4;100;70;0;60;50;50;5;9;3;4;4;3;9;9;5;7;9;9;9;7;7;10;10;9;9;9;10;9;9;9;9;10;10;5;9;9;9;9;1;6;0;4;5;8;2;7;1;8;8;10;2;7;8;4;1;2;3;1;9;1;2;9;7;4;10;0;2;0;0;0;2;3;7;4;3;4;2;7;6;7;5;6;7;3;5;6;2;6;4;7;2;2;2;7;3;6;3;5;6;6;19;2;3;3;1;3;"48734";1
"551605";"Münster";8;8;8;6;9;8;7;10;8;10;8;10;6;10;1;8;5;8;2;6;80;140;325;100;70;30;2;5;6;6;2;2;8;10;10;10;10;10;7;2;0;10;10;10;10;10;10;9;10;10;10;10;10;10;10;9;10;10;2;8;0;6;4;9;6;9;0;8;7;5;5;5;6;7;9;9;2;0;8;1;7;2;2;8;5;1;0;0;0;2;0;3;7;6;1;4;6;6;7;7;6;2;7;4;4;3;1;1;2;6;1;1;2;3;3;1;5;6;6;7;49;2;5;1;1;2;"48249";1
"549303";"Münster";8;8;9;7;8;9;7;10;8;8;9;10;6;7;6;8;7;7;6;7;100;400;150;50;200;20;9;9;8;10;8;10;6;8;1;6;9;9;7;6;0;8;8;8;8;7;7;3;3;2;6;4;6;7;6;7;4;5;7;8;0;5;10;10;7;7;1;7;6;7;7;6;7;3;2;0;2;2;5;4;4;3;5;5;10;2;8;0;6;3;1;1;5;4;5;3;3;3;3;6;6;5;6;6;5;4;3;3;4;3;3;2;2;1;3;2;4;5;5;6;36;2;3;3;4;1;"48147";2
