"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"549980";"Stuttgart";10;10;10;10;10;10;8;5;5;5;5;10;5;5;10;10;9;10;8;10;80;200;150;100;150;150;8;8;8;8;5;8;3;9;9;8;9;9;5;9;0;10;10;10;0;9;8;8;8;10;4;10;5;0;7;10;10;10;3;9;2;9;5;5;0;10;0;6;6;0;0;9;8;8;8;8;0;0;5;0;5;10;10;8;10;3;5;0;0;3;3;3;4;2;2;3;1;5;1;5;3;7;7;2;3;1;7;1;2;2;3;1;1;1;1;1;2;2;2;6;55;1;3;3;3;2;"71229";1
"519469";"Stuttgart";7;7;7;7;7;8;8;9;8;9;9;9;8;9;3;8;2;4;3;2;100;300;900;200;100;30;4;9;8;7;5;7;7;8;8;8;7;5;4;8;2;9;9;8;8;8;8;7;7;7;6;8;6;5;6;8;8;7;4;4;0;4;3;5;2;9;0;9;9;8;8;8;8;8;2;6;1;8;6;4;5;8;8;8;7;0;1;0;0;1;0;3;5;4;3;3;2;3;3;4;5;4;4;5;5;5;5;4;4;5;4;4;4;3;4;3;3;4;4;4;66;2;3;1;3;2;NA;1
"550810";"Stuttgart";8;7;8;9;7;8;9;7;8;7;8;9;7;8;7;8;9;7;8;9;7;9;8;9;8;7;9;8;7;9;8;7;9;7;9;8;7;9;7;8;7;8;7;9;8;7;8;9;7;8;7;8;7;8;7;8;7;8;7;8;7;8;7;8;NA;7;8;7;8;7;8;7;8;7;8;7;8;7;8;7;8;NA;7;8;8;7;8;7;8;7;7;3;7;6;4;6;7;4;6;4;6;4;6;4;6;4;7;5;4;5;4;5;7;7;4;6;4;6;7;6;15;2;1;3;4;1;"70178";NA
"551289";"Stuttgart";10;9;8;9;7;8;6;10;9;2;7;10;3;10;5;10;5;4;6;5;350;500;1200;120;200;80;6;8;5;10;6;4;8;10;9;10;7;6;4;9;3;10;10;10;9;10;10;8;7;9;8;10;9;7;8;10;9;10;6;10;2;10;2;6;1;5;3;10;10;7;9;8;4;7;5;9;2;10;7;3;8;10;9;9;10;0;4;0;1;3;1;3;5;2;6;6;1;4;3;6;5;6;5;3;5;3;2;2;5;5;3;3;5;2;3;2;1;6;2;6;39;1;3;3;3;1;"70186";1
"518193";"Stuttgart";6;6;5;4;6;7;8;3;2;2;1;2;3;4;4;4;3;4;3;2;0;0;0;0;0;0;3;3;2;1;1;2;7;6;5;4;4;3;2;5;6;7;6;5;4;4;4;4;4;3;4;5;4;3;4;4;3;4;6;5;4;3;5;6;6;6;5;4;4;4;4;3;2;3;4;3;2;3;3;3;3;3;3;3;6;0;3;0;0;4;0;3;6;6;6;5;4;5;6;5;4;5;4;4;4;4;4;5;4;3;4;5;4;3;3;3;7;6;5;4;48;1;3;1;3;1;"70567";1
"547501";"Stuttgart";5;5;6;3;4;4;2;6;6;4;6;5;2;3;3;2;6;6;4;5;400;250;1300;300;300;100;1;1;1;5;7;4;7;8;3;6;4;4;3;4;3;7;9;5;4;4;6;4;4;3;6;6;7;6;4;8;7;7;6;7;4;5;5;5;2;3;4;6;9;5;4;4;4;3;2;4;7;6;7;5;4;6;7;6;2;0;2;0;0;2;NA;3;4;4;5;3;6;5;5;5;5;4;7;3;3;5;5;4;6;6;4;3;5;4;6;5;4;4;2;7;54;1;3;2;2;1;"70192";1
"549067";"Stuttgart";5;3;10;10;10;10;10;10;10;10;10;10;5;5;5;10;5;10;10;10;100;250;600;50;150;50;5;5;5;5;5;5;8;8;5;8;8;8;5;6;7;10;10;5;5;5;5;8;5;5;5;3;4;5;8;5;5;5;5;5;0;7;5;5;3;9;6;6;5;8;4;8;8;3;6;5;5;9;3;0;5;10;6;5;10;8;8;0;0;0;0;3;4;2;1;1;2;7;5;7;7;6;6;1;1;3;1;2;2;5;1;1;2;1;1;1;2;2;5;7;60;2;3;1;2;4;"75328";1
"540343";"Stuttgart";8;8;10;10;10;10;7;10;10;10;8;10;8;10;5;8;8;10;8;8;0;200;450;20;200;10;0;5;3;5;3;5;8;8;5;8;10;5;8;8;5;10;10;8;8;8;6;5;5;8;6;8;5;2;6;4;6;7;0;1;0;0;8;0;3;5;0;6;6;3;5;6;6;2;0;6;0;0;1;0;5;4;0;6;10;5;5;0;0;0;6;3;5;4;5;4;2;2;1;4;4;4;5;2;4;1;1;1;4;4;5;5;5;4;6;3;3;4;1;4;45;1;3;1;2;1;"70378";2
"520096";"Stuttgart";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;50;400;20;20;0;0;0;0;0;0;0;2;4;4;4;3;4;2;1;1;1;1;2;3;4;2;2;1;2;2;6;3;4;2;1;1;4;0;0;0;1;2;2;2;2;3;2;2;4;4;3;2;1;1;2;3;4;5;2;1;3;5;2;2;1;0;0;0;2;0;3;4;5;3;3;3;3;5;6;4;6;5;2;2;2;1;2;2;2;1;1;1;2;3;2;1;1;1;4;69;1;5;4;2;1;"70173";NA
"552283";"Stuttgart";10;8;10;10;10;10;10;10;5;10;8;10;7;6;2;9;6;2;8;5;200;200;1200;250;100;80;0;5;2;2;0;2;0;8;3;10;2;3;2;7;5;8;8;10;10;9;9;8;8;8;7;8;9;7;9;8;8;8;0;8;3;0;0;0;0;8;5;6;6;5;5;2;2;5;5;5;0;0;1;0;2;4;7;7;10;8;6;0;0;4;3;3;7;7;7;7;6;6;4;6;7;7;7;6;6;6;3;5;5;6;5;6;5;7;6;6;5;5;3;7;42;1;3;4;3;1;"70378";1
