"M";"FOM";"U1";"U2";"U3";"U4";"U5";"U6";"U7";"K1";"K2";"K3";"K4";"K5";"K6";"K7";"L1";"L2";"L3";"L4";"L5";"L6";"G1";"G2";"G3";"G4";"G5";"G6";"P1";"P2";"P3";"P4";"P5";"P6";"M1";"M2";"M3";"M4";"M5";"M6";"M7";"M8";"M9";"M10";"M11";"M12";"M13";"M14";"M15";"M16";"M17";"M18";"M19";"M20";"M21";"M22";"M23";"M24";"M25";"M26";"H1";"H2";"H3";"H4";"H5";"H6";"H7";"H8";"H9";"H10";"H11";"H12";"H13";"H14";"H15";"H16";"H17";"H18";"H19";"H20";"H21";"H22";"H23";"H24";"H25";"H26";"F1";"F2";"F3";"F4";"F5";"F6";"F7";"N";"W1";"W2";"W3";"W4";"W5";"W6";"W7";"W8";"W9";"W001_10";"W001_11";"E1";"E2";"E3";"E4";"E5";"E6";"E7";"E8";"E9";"E10";"E11";"E12";"E13";"E14";"E15";"E16";"E17";"D1";"D2";"D3";"D4";"D5";"D6";"D7";"D8"
"546915";"Wuppertal";8;9;6;9;10;7;6;2;6;4;2;8;1;3;7;7;6;3;9;2;80;70;0;10;20;40;10;9;9;10;8;7;8;10;9;10;8;9;5;7;5;9;9;10;8;8;3;8;3;9;9;10;10;10;10;9;8;10;7;10;9;6;10;10;1;10;2;8;8;10;1;10;5;10;4;7;5;10;8;7;9;10;10;9;6;0;7;0;8;7;0;1;6;5;2;4;1;1;2;1;1;7;7;1;1;2;1;1;1;5;1;1;1;5;2;1;1;4;4;6;26;1;2;3;1;1;"42289";NA
"547805";"Wuppertal";9;9;9;9;10;8;7;10;10;10;8;10;0;5;5;7;0;6;5;4;40;30;0;20;20;1;3;7;0;8;5;5;7;7;6;7;5;8;6;5;6;5;6;7;6;7;8;8;9;8;7;8;5;5;8;9;7;8;3;4;0;2;1;10;3;5;1;5;8;6;0;7;2;0;3;3;3;5;5;0;5;10;1;4;9;0;1;0;0;4;1;3;6;6;4;4;3;4;4;5;4;6;6;7;4;7;4;7;3;6;4;3;4;2;2;1;3;1;7;7;18;2;1;5;1;1;"45289";NA
"547836";"Wuppertal";7;5;8;10;6;5;5;8;7;6;6;9;6;7;6;9;6;8;6;6;50;70;450;20;20;15;6;9;7;6;7;6;7;9;6;7;8;6;7;3;2;8;5;3;5;5;3;0;6;5;6;7;8;3;2;5;8;8;1;2;0;5;2;9;0;7;1;5;5;2;5;5;5;0;5;3;2;5;5;0;3;10;6;8;10;0;3;0;0;2;0;3;6;4;4;5;1;2;3;5;5;5;5;2;5;6;1;2;3;2;2;2;4;2;1;1;2;4;1;4;37;2;3;3;1;1;"42477";1
"429542";"Wuppertal";9;9;7;6;7;9;7;4;4;4;4;10;2;8;5;9;7;7;7;2;180;270;90;80;90;110;4;2;5;9;4;7;7;10;1;10;7;7;7;6;1;10;10;7;7;7;10;10;8;10;10;8;10;2;10;10;6;10;3;2;0;4;2;2;1;4;0;7;7;9;9;9;8;8;6;8;5;1;6;1;4;9;3;7;7;3;1;1;1;1;1;3;6;5;3;3;4;3;3;6;5;5;5;1;1;1;1;1;1;4;2;1;3;2;1;1;1;5;2;5;60;1;3;3;NA;1;"42327";3
"547805";"Wuppertal";9;8;9;9;8;8;8;7;6;7;6;9;6;8;5;6;5;6;6;5;0;10;0;20;0;0;5;6;6;6;6;6;7;7;6;8;8;7;7;6;5;8;7;7;6;7;7;8;8;8;7;8;6;6;7;8;7;8;7;3;0;2;2;4;1;3;0;2;2;2;3;1;1;2;2;3;2;6;2;1;3;7;4;3;8;0;1;0;0;1;2;3;6;5;5;5;3;5;4;4;2;6;6;5;5;6;3;5;5;6;4;3;5;4;5;3;5;4;2;3;16;2;1;5;1;1;"45289";NA
"547836";"Wuppertal";8;7;9;8;6;8;6;5;5;8;6;7;2;3;6;7;8;8;7;5;300;200;450;50;50;10;8;8;6;7;8;5;2;5;6;1;3;4;9;5;6;4;4;0;4;10;5;3;0;5;9;4;2;3;1;8;9;9;1;3;5;1;4;10;0;5;6;5;5;2;3;9;6;2;0;5;9;4;0;0;4;8;9;9;5;10;10;10;10;9;10;3;7;6;3;4;1;7;3;6;7;3;3;5;7;4;3;2;4;6;4;5;4;1;3;4;1;4;4;6;36;2;3;1;2;1;"42897";1
"549640";"Wuppertal";8;8;8;8;6;7;5;7;4;4;9;9;4;7;3;4;3;2;4;1;100;200;350;50;50;10;2;2;3;1;2;0;10;10;3;10;5;5;5;6;3;9;9;8;8;8;8;8;5;7;7;9;8;6;7;8;8;8;10;10;0;10;2;2;2;7;2;7;7;7;7;7;7;5;2;5;5;10;9;5;8;6;6;6;8;0;0;0;0;0;0;3;5;2;1;1;7;7;7;7;5;6;4;1;1;1;6;6;3;6;6;5;5;3;1;1;4;4;2;3;79;2;5;1;1;1;"42279";NA
"429542";"Wuppertal";9;9;9;7;8;8;4;3;7;5;3;8;4;7;8;9;8;7;10;6;160;220;110;170;170;200;4;5;6;9;2;6;8;9;6;7;1;1;1;1;0;10;10;5;5;5;7;8;7;9;10;10;10;8;10;8;5;10;10;10;0;2;0;0;0;8;0;6;6;7;7;5;6;8;5;9;10;2;10;6;8;10;3;7;9;0;4;0;0;0;0;3;4;4;1;1;3;5;6;7;4;5;6;4;4;2;2;2;6;7;3;2;3;6;1;1;6;5;3;6;58;1;3;1;4;1;"42115";1
"551292";"Wuppertal";10;10;10;10;10;10;8;10;7;10;8;10;5;10;9;10;7;10;7;5;200;200;700;200;100;50;2;5;5;2;5;8;10;10;10;10;5;5;5;5;5;10;10;8;8;10;10;5;8;10;5;10;10;10;8;10;10;10;0;5;0;0;2;4;0;7;0;8;8;3;3;3;4;5;4;6;0;5;5;0;6;9;4;5;10;0;2;0;0;0;0;3;7;6;1;1;1;5;2;6;6;6;7;7;7;4;6;6;7;6;4;4;3;3;4;2;5;6;3;4;26;2;3;3;2;2;"45525";1
"555604";"Wuppertal";7;8;10;8;5;10;5;10;7;7;7;10;7;10;5;10;2;7;4;6;300;900;800;400;100;20;4;5;5;5;4;3;7;7;4;6;8;3;4;2;3;6;5;6;3;6;7;5;7;7;3;6;4;1;5;8;5;6;0;0;0;0;6;8;6;7;0;7;8;8;3;8;7;0;7;7;0;10;3;0;5;6;4;5;10;6;7;0;0;4;0;3;6;5;1;5;3;6;7;7;6;3;5;2;4;4;3;3;6;5;6;2;3;3;2;2;3;4;6;5;66;2;3;1;1;1;"42657";1
